,1. open,2. high,3. low,4. close,5. volume,date,day,ticker
0,0.1399,0.1400,0.1050,0.1149,15601,2020-08-04,0.0,DRIOW
1,0.1399,0.1900,0.0701,0.1650,164417,2020-08-05,1.0,DRIOW
2,0.2500,0.2500,0.1100,0.1999,25236,2020-08-06,0.0,DRIOW
3,0.1500,0.2500,0.1500,0.1987,168946,2020-08-07,1.0,DRIOW
4,0.2500,0.2500,0.1300,0.2000,53475,2020-08-10,0.0,DRIOW
5,0.2000,0.2000,0.1320,0.1350,44501,2020-08-11,1.0,DRIOW
6,0.1700,0.2000,0.0930,0.1100,132008,2020-08-12,0.0,DRIOW
7,0.0950,0.1530,0.0930,0.1150,112287,2020-08-13,1.0,DRIOW
8,0.0780,0.0780,0.0780,0.0780,200,2020-09-09,0.0,DRIOW
9,0.0780,0.0780,0.0780,0.0780,0,2020-09-10,1.0,DRIOW
10,0.0780,0.0780,0.0507,0.0770,6102,2020-09-14,0.0,DRIOW
11,0.0621,0.0700,0.0621,0.0700,7261,2020-09-15,1.0,DRIOW
12,0.0705,0.0910,0.0418,0.0621,57103,2020-10-01,0.0,DRIOW
13,0.0845,0.0910,0.0420,0.0420,22033,2020-10-02,1.0,DRIOW
14,0.0845,0.0910,0.0420,0.0420,22033,2020-10-02,0.0,DRIOW
15,0.0750,0.0750,0.0452,0.0530,2502,2020-10-05,1.0,DRIOW
16,0.0750,0.0750,0.0452,0.0530,2502,2020-10-05,0.0,DRIOW
17,0.0480,0.0587,0.0326,0.0391,132542,2020-10-06,1.0,DRIOW
18,0.0786,0.0786,0.0400,0.0699,49232,2020-10-07,0.0,DRIOW
19,0.0500,0.0850,0.0478,0.0500,24344,2020-10-08,1.0,DRIOW
20,0.0622,0.0622,0.0617,0.0617,3000,2020-10-20,0.0,DRIOW
21,0.0452,0.0604,0.0452,0.0453,2901,2020-10-21,1.0,DRIOW
22,0.0640,0.0640,0.0461,0.0461,6283,2020-10-22,0.0,DRIOW
23,0.0461,0.0461,0.0461,0.0461,500,2020-10-23,1.0,DRIOW
24,0.0491,0.0630,0.0418,0.0437,9358,2020-11-03,0.0,DRIOW
25,0.0400,0.0462,0.0338,0.0461,13538,2020-11-04,1.0,DRIOW
26,8.4100,9.0400,7.0000,7.2400,253701,2020-08-04,0.0,BLNKW
27,7.1900,8.5000,7.0300,8.3500,105695,2020-08-05,1.0,BLNKW
28,11.1900,13.4200,5.3000,5.4000,36529095,2020-08-04,0.0,SSNT
29,5.7600,5.7999,4.6000,5.2100,1158446,2020-08-05,1.0,SSNT
30,2.7000,3.3000,2.4400,3.2600,60368659,2020-08-04,0.0,SINT
31,2.4700,2.6500,2.4300,2.5300,17141762,2020-08-05,1.0,SINT
32,3.8000,5.1500,3.1800,3.4300,109683365,2020-08-04,0.0,ATHE
33,3.0000,3.1400,2.8100,2.9100,2744195,2020-08-05,1.0,ATHE
34,4.1500,5.1500,3.7500,4.7000,2683171,2020-08-04,0.0,DPHCW
35,4.7000,4.9900,4.0000,4.2000,1002026,2020-08-05,1.0,DPHCW
36,0.3700,0.3700,0.3700,0.3700,225,2020-08-04,0.0,CTXRW
37,0.3700,0.3700,0.3700,0.3700,800,2020-08-05,1.0,CTXRW
38,0.3500,0.3700,0.3500,0.3501,6145,2020-09-09,0.0,CTXRW
39,0.3501,0.3501,0.3501,0.3501,0,2020-09-10,1.0,CTXRW
40,0.3500,0.3500,0.3500,0.3500,2300,2020-10-02,0.0,CTXRW
41,0.3000,0.3700,0.2300,0.3422,1050,2020-10-05,1.0,CTXRW
42,0.3500,0.3600,0.2900,0.3200,5193,2020-10-08,0.0,CTXRW
43,0.3236,0.3400,0.3110,0.3400,6369,2020-10-09,1.0,CTXRW
44,0.3700,0.3700,0.2914,0.2914,4655,2020-10-21,0.0,CTXRW
45,0.2910,0.3700,0.2500,0.2651,5741,2020-10-22,1.0,CTXRW
46,0.3492,0.3700,0.3490,0.3490,1216,2020-10-23,0.0,CTXRW
47,0.3500,0.3500,0.3000,0.3000,600,2020-10-26,1.0,CTXRW
48,0.0592,0.0600,0.0592,0.0592,3207,2020-08-04,0.0,OXBRW
49,0.0587,0.0587,0.0501,0.0503,9772,2020-08-05,1.0,OXBRW
50,0.1048,0.4000,0.0672,0.1690,2884703,2020-08-14,0.0,OXBRW
51,0.2600,0.3300,0.1601,0.1901,1349046,2020-08-17,1.0,OXBRW
52,0.2600,0.3300,0.1601,0.1901,1349046,2020-08-17,0.0,OXBRW
53,0.2300,0.3500,0.1604,0.2250,1425892,2020-08-18,1.0,OXBRW
54,0.1700,0.1700,0.0875,0.1125,838690,2020-08-21,0.0,OXBRW
55,0.1300,0.1300,0.0999,0.1010,505669,2020-08-24,1.0,OXBRW
56,0.1350,0.1350,0.0911,0.1039,140694,2020-08-31,0.0,OXBRW
57,0.0899,0.1150,0.0899,0.1017,45767,2020-09-01,1.0,OXBRW
58,0.1140,0.1140,0.0810,0.0850,71836,2020-09-18,0.0,OXBRW
59,0.0859,0.1050,0.0852,0.0857,96520,2020-09-21,1.0,OXBRW
60,0.1200,0.5600,0.1056,0.1458,10144517,2020-09-28,0.0,OXBRW
61,0.1378,0.1378,0.1010,0.1040,776148,2020-09-29,1.0,OXBRW
62,0.1375,0.1800,0.1200,0.1800,19623,2020-08-04,0.0,NBACW
63,0.1040,0.1700,0.1040,0.1700,744,2020-08-05,1.0,NBACW
64,0.1400,0.1401,0.1250,0.1250,22432,2020-08-07,0.0,NBACW
65,0.1270,0.1401,0.1270,0.1298,26100,2020-08-10,1.0,NBACW
66,0.2800,0.3000,0.2202,0.2202,10800,2020-09-28,0.0,NBACW
67,0.2202,0.2202,0.2202,0.2202,0,2020-09-29,1.0,NBACW
68,0.2900,0.2900,0.2900,0.2900,1700,2020-09-30,0.0,NBACW
