"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",36152.60,51.19,28.39,5.50,6.77,7.47,25.09,62.33,0.66%,30.30%,2.30,-31.60%,12.56%,12.00%,9.30%,5.70%,14.40%,8.50%,309.00,304.40,0.40%,-15.92%,90.10%,-1.02%,1.06%,2.08,7.50%,14.80%,10.00%,2.30,1.80,0.47,0.48,53.10%,15.80%,13.50%,-1.23%,3.04%,18.41%,34.99%,37.94%,38.12%,1.06,2.49,1.61%,1.94%,0.29%,4.93%,24.07%,-2.50%,16.47%,-2.50%,91.77%,56.78,-1.12%,0.62%,2.20,1546.47,0.65,117.23,-0.51%,1007018,11/23/2020 4:30:00 PM,121.94,11/18/1999,117.24,0.01%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",4184.01,,29.85,,0.45,1.22,2.41,17.29,,,-2.53,-559.70%,153.60%,-34.10%,,-4.50%,77.80%,-7.90%,186.00,184.84,0.20%,-0.13%,76.90%,2.30%,5.37%,1.76,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,1.04%,9.18%,81.70%,102.37%,3.06%,3.39%,2.56,1.09,3.84%,5.13%,-1.15%,20.98%,73.20%,-8.81%,83.21%,-8.81%,327.13%,57.18,-0.45%,-0.45%,2.60,5635.12,0.61,22.04,-0.90%,3451116,10/14/2020 4:30:00 PM,19.17,10/18/2016,22.05,0.05%
3,"AAAU","Perth Mint Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32%,3.78%,-0.48%,5.54%,23.78%,23.17%,,0.20,0.82%,0.87%,1.52%,0.48%,3.22%,-3.95%,6.19%,-9.28%,29.12%,55.24,0.05%,0.21%,,530.19,0.82,18.71,0.27%,432608,,,8/15/2018,18.72,0.05%
4,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",38.38,,,,1.63,1.06,2.24,,,,-0.62,-37.70%,,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43,31.74,18.70%,0.00%,0.04%,-58.05%,0.01%,0.04,-16.40%,-38.80%,-45.00%,0.50,0.50,0.00,0.01,34.50%,,-68.30%,0.82%,-4.72%,5.21%,3.79%,-13.57%,-11.09%,1.68,0.06,6.24%,4.97%,-0.50%,1.23%,10.59%,-15.00%,10.19%,-36.36%,94.44%,49.43,0.00%,-1.65%,,79.38,1.75,1.19,-1.65%,138609,11/12/2020 4:30:00 PM,,1/29/2008,1.18,-0.84%
5,"AACQ","Artius Acquisition Inc.","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,1.05%,6.25%,5.93%,,,5.40%,,0.17,2.00%,1.56%,2.72%,5.77%,6.02%,-2.77%,10.08%,-2.77%,10.08%,75.38,-1.22%,1.23%,,530.20,3.70,10.54,0.00%,1963356,,,9/4/2020,10.53,-0.09%
6,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.79%,5.49%,9.67%,14.58%,10.63%,11.90%,,0.64,0.64%,0.73%,2.52%,5.18%,14.81%,-0.48%,14.66%,-0.48%,79.55%,63.26,-0.28%,0.77%,,10.16,1.75,60.60,0.48%,17786,,,7/21/2010,60.57,-0.05%
7,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",128.38,,13.83,,71.32,0.66,14.42,6.06,,,-1.49,109.80%,8.63%,-3.90%,,8.00%,149.90%,-53.90%,34.66,32.47,2.20%,-2.64%,36.30%,-10.54%,2.56%,3.56,-2.70%,-24.60%,0.30%,,,0.97,3.50,,,,2.41%,15.71%,35.34%,28.52%,-34.86%,-31.24%,1.84,0.15,3.85%,4.40%,4.10%,20.68%,34.09%,-7.09%,59.66%,-43.87%,171.43%,68.80,0.00%,-0.78%,2.70,233.63,0.80,3.80,-0.78%,186762,11/3/2020 4:30:00 PM,3.75,12/23/1997,3.80,0.00%
8,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9858.91,,,,0.40,,1.19,,,,-13.85,25.20%,72.80%,-0.70%,,1.40%,-590.60%,-73.40%,509.05,502.83,0.93%,0.00%,45.40%,-5.11%,31.98%,2.08,-10.20%,219.80%,10.30%,0.70,0.60,,,51.80%,-29.10%,-25.60%,-2.73%,7.50%,25.86%,20.57%,-43.53%,-44.00%,1.82,0.86,4.29%,5.65%,-2.66%,13.52%,23.78%,-14.87%,49.20%,-48.47%,92.24%,52.78,-2.82%,1.62%,3.50,77222.90,0.66,15.86,-1.25%,50686556,10/22/2020 8:30:00 AM,11.36,12/9/2013,15.88,0.13%
9,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",36.68,,,,8.95,,1.19,6.55,,,-12.65,74.20%,,-15.80%,,-48.20%,45.40%,,1.63,0.61,6.30%,0.00%,15.40%,-12.54%,0.77%,1.05,-6.30%,1.70%,4.50%,,,,,,,-89.10%,-1.96%,-1.10%,-0.57%,39.23%,71.76%,82.19%,0.64,0.71,1.27%,1.95%,2.69%,4.75%,27.57%,-8.95%,24.01%,-27.11%,130.38%,56.20,3.38%,1.02%,,4.45,1.87,23.50,4.44%,8309,,,12/13/2012,,
10,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",43.15,63.64,,,0.23,0.34,4.85,9.18,,34.00%,0.03,28.70%,,-17.10%,,3.60%,210.50%,-2.90%,20.44,4.08,2.80%,0.00%,5.50%,0.53%,0.06%,0.31,0.30%,1.00%,1.10%,,,0.26,0.26,,2.10%,0.60%,0.96%,1.74%,-1.41%,20.00%,5.00%,6.60%,0.27,0.10,3.49%,4.45%,-3.04%,-2.45%,4.38%,-12.13%,10.53%,-39.66%,32.91%,45.60,0.00%,0.00%,,7.80,0.16,2.10,0.00%,1211,,,3/17/1980,,
11,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","USA",552.00,,8.19,,0.32,0.67,1.28,,,,-7.35,-44.50%,-41.70%,,,,,,33.72,,,,,,,0.63,,,3.50%,,,0.39,0.39,62.40%,,,-9.86%,-38.23%,,,,-38.23%,,1.51,4.97%,8.06%,-5.32%,-8.36%,-8.36%,-45.42%,4.44%,-45.42%,4.44%,,3.17%,0.18%,2.60,1405.54,0.34,16.92,3.36%,474890,10/29/2020 8:30:00 AM,24.50,11/4/1982,16.51,-2.42%
12,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors","USA",210.57,,,,0.91,0.77,4.50,,,,-3.91,-10.50%,46.30%,-68.80%,13.00%,7.90%,3.60%,66.20%,22.74,21.74,5.50%,-3.90%,48.70%,-7.29%,19.85%,6.89,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.90%,-20.60%,-34.80%,4.94%,5.93%,-18.45%,-5.10%,-22.48%,-24.83%,1.82,0.39,5.37%,4.28%,5.14%,1.81%,-11.67%,-22.81%,22.22%,-49.91%,76.00%,55.32,-1.35%,-0.11%,2.90,626.40,1.86,8.80,-1.46%,1167126,11/5/2020 4:30:00 PM,9.25,9/26/2013,8.69,-1.25%
13,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",3466.24,46.26,51.25,3.86,6.66,10.09,,57.10,0.57%,24.00%,1.44,27.00%,-8.77%,5.10%,12.00%,5.70%,42.00%,18.80%,52.26,41.32,16.60%,-0.44%,72.80%,1.05%,9.03%,20.96,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,3.58%,1.14%,14.08%,24.13%,33.75%,34.83%,0.67,2.03,3.74%,2.88%,4.71%,5.42%,18.29%,-3.88%,18.56%,-3.88%,64.82%,63.65,0.00%,0.15%,3.50,178.14,1.52,66.72,0.15%,270368,11/5/2020 4:30:00 PM,35.00,1/3/1991,66.72,0.00%
14,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",10682.48,23.10,16.71,1.94,1.08,2.91,10.00,17.29,0.63%,12.60%,6.87,21.10%,10.68%,0.40%,11.90%,-0.30%,21.70%,9.90%,68.97,67.60,0.20%,0.00%,,-0.78%,4.38%,3.28,4.00%,13.10%,12.30%,1.40,0.40,0.27,0.00,43.90%,6.90%,4.80%,-0.74%,6.29%,3.53%,11.24%,0.28%,-0.85%,1.27,3.53,1.88%,2.29%,0.14%,2.01%,11.41%,-4.50%,9.89%,-8.10%,119.67%,50.83,-1.53%,0.21%,2.30,902.58,0.78,156.69,-1.33%,701428,11/10/2020 8:30:00 AM,175.13,11/29/2001,156.69,0.00%
15,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",2306189.98,41.84,31.52,3.31,8.40,35.69,25.36,38.90,0.60%,24.10%,3.27,10.20%,9.27%,7.30%,12.64%,3.30%,-3.00%,1.00%,17057.62,16990.54,0.07%,-6.93%,59.80%,,0.56%,0.82,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,7.92%,17.81%,18.90%,51.13%,88.67%,86.19%,1.28,3.14,2.71%,2.26%,7.12%,12.34%,35.56%,-1.80%,25.67%,-2.25%,153.74%,68.52,-2.30%,0.99%,2.00,115366.74,1.04,134.87,-1.33%,120079989,10/29/2020 4:30:00 PM,127.11,12/12/1980,134.84,-0.02%
16,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",1722.48,45.90,34.22,15.30,4.76,1.35,11.09,,3.46%,166.80%,0.63,101.50%,52.25%,10.50%,3.00%,7.10%,-61.20%,-14.20%,59.83,59.37,0.90%,,97.10%,0.14%,1.24%,2.24,1.30%,2.90%,4.30%,,,1.10,1.10,65.10%,28.20%,10.40%,2.15%,-5.15%,18.14%,2.55%,-36.09%,-36.99%,1.22,0.96,2.76%,2.94%,-2.86%,5.79%,7.20%,-10.15%,36.71%,-41.14%,40.65%,49.28,-1.77%,-0.24%,2.80,327.79,0.44,28.34,-2.01%,145485,10/27/2020 4:30:00 PM,27.60,1/13/2011,28.34,0.00%
17,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",59.47,,,,,1.02,22.03,,,,-0.02,-3.20%,,31.70%,,,81.30%,,119.16,114.95,7.20%,0.00%,5.90%,44.19%,0.46%,0.45,-4.20%,-4.60%,,9.50,9.50,0.04,0.04,,,,-37.95%,-52.02%,-43.91%,-2.09%,-16.16%,-18.86%,1.14,0.08,15.96%,11.63%,-33.74%,-48.38%,-28.24%,-62.50%,1.31%,-62.50%,119.24%,29.16,-2.11%,-0.61%,,1165.59,1.38,0.47,-2.70%,1605323,,,10/17/2003,0.47,0.00%
18,"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services","USA",1498.50,,6.34,,0.50,0.71,2.09,1.83,,,-9.16,-218.60%,-28.91%,-36.10%,10.00%,8.80%,19.90%,24.90%,26.14,25.57,1.40%,-29.17%,,-0.78%,11.32%,5.99,-4.20%,-12.40%,-5.00%,1.00,1.00,1.03,1.17,57.70%,-9.70%,-7.70%,-0.80%,-2.11%,-12.08%,35.38%,104.06%,98.88%,1.36,1.79,2.48%,3.23%,-2.73%,-5.88%,12.59%,-19.98%,7.46%,-21.83%,260.72%,41.53,-1.50%,-0.02%,1.70,483.49,0.76,54.00,-1.51%,369030,11/5/2020 8:30:00 AM,79.50,7/21/2004,53.35,-1.20%
19,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,1.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02%,0.74%,14.32%,25.32%,17.98%,18.30%,,0.93,0.81%,0.76%,1.18%,4.40%,19.53%,-0.25%,12.66%,-0.25%,66.50%,59.65,0.20%,1.18%,,1210.55,0.98,88.16,1.39%,1181691,,,8/15/2008,88.16,0.00%
20,"AAXN","Axon Enterprise, Inc.","Industrials","Aerospace & Defense","USA",8019.00,,97.02,,12.80,8.88,15.82,,,,-0.66,-97.10%,16.22%,-47.40%,18.80%,26.40%,-113.50%,27.20%,63.50,62.72,1.10%,-31.76%,88.40%,3.73%,4.97%,5.75,-3.80%,-5.60%,-1.40%,3.40,3.00,0.00,0.00,58.70%,-5.50%,-6.40%,-0.14%,-2.02%,42.37%,30.65%,71.69%,70.80%,0.63,4.77,4.13%,3.64%,-1.70%,4.53%,33.95%,-8.46%,27.59%,-8.46%,146.41%,49.53,-2.12%,0.67%,2.20,541.99,1.11,123.33,-1.46%,601314,11/5/2020 4:30:00 PM,120.75,6/7/2001,123.33,0.00%
