"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",38712.64,55.20,30.51,5.93,7.25,8.06,26.87,66.75,0.61%,30.30%,2.30,-31.60%,12.81%,12.00%,9.30%,5.70%,14.40%,8.50%,309.00,304.40,0.40%,-16.01%,90.10%,0.06%,1.06%,1.96,7.50%,14.80%,10.00%,2.30,1.80,0.47,0.48,53.10%,15.80%,13.50%,7.23%,8.59%,21.99%,42.09%,45.59%,7.23%,1.02,2.59,2.68%,1.98%,6.95%,11.59%,31.80%,-0.20%,26.55%,-0.20%,108.38%,79.45,0.70%,-0.44%,2.20,1643.42,0.59,127.38,0.25%,55894,11/23/2020 4:30:00 PM,123.25,11/18/1999,,
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",4691.12,,30.11,,0.50,1.37,2.70,19.38,,,-2.53,-559.70%,161.90%,-34.10%,,-4.50%,77.80%,-7.90%,186.00,184.91,0.20%,-0.13%,77.00%,0.11%,5.37%,1.82,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,8.42%,7.30%,96.31%,119.02%,26.15%,8.42%,2.57,1.21,4.72%,5.08%,5.85%,21.35%,80.23%,-7.67%,99.10%,-7.67%,368.82%,62.63,1.39%,-4.52%,2.60,5468.65,1.00,24.19,-3.20%,312310,1/20/2021 4:30:00 PM,19.17,10/18/2016,,
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.80%,-1.18%,-2.44%,2.56%,19.04%,-2.80%,,0.26,1.37%,0.95%,-2.28%,-1.76%,0.10%,-6.10%,3.80%,-11.32%,26.22%,40.82,0.11%,-0.76%,,545.65,0.87,18.29,-0.65%,27126,,,8/15/2018,,
4,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",40.20,,,,1.70,1.08,2.32,,,,-0.62,-37.70%,,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43,31.74,18.70%,0.00%,0.04%,,0.01%,0.03,-16.40%,-38.80%,-45.10%,0.50,0.50,0.00,0.01,34.50%,,-68.30%,4.29%,4.29%,13.85%,-13.82%,-14.52%,4.29%,1.59,0.06,5.84%,4.94%,5.60%,8.15%,16.87%,-1.92%,18.06%,-31.82%,108.33%,59.22,0.39%,2.34%,,82.07,0.31,1.27,2.74%,1475,11/12/2020 4:30:00 PM,,1/29/2008,,
5,"AACQ","Artius Acquisition Inc.","Financial","Shell Companies","USA",762.90,,,,,,,,,,,,,,,,,,72.45,,,,,,,0.23,,,,,,,,,,,-0.94%,2.13%,7.61%,,,-0.94%,,0.19,2.04%,1.84%,1.04%,4.74%,5.75%,-2.54%,10.44%,-2.54%,10.44%,63.16,-0.62%,1.04%,,611.36,3.17,10.57,0.42%,111198,,,9/4/2020,,
6,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33%,7.03%,10.81%,13.49%,14.40%,3.33%,,0.71,1.03%,0.81%,2.94%,6.41%,15.63%,-1.33%,17.63%,-1.33%,84.21%,64.54,0.00%,-1.19%,,11.58,3.10,62.17,-1.19%,2057,,,7/21/2010,,
7,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",131.41,,14.33,,73.00,0.68,14.76,6.20,,,-1.49,109.80%,8.63%,-3.90%,,8.00%,149.90%,-53.90%,34.66,32.47,2.20%,0.00%,36.30%,0.11%,2.56%,3.48,-2.70%,-24.60%,0.30%,,,0.97,3.50,,,,5.03%,4.47%,34.58%,40.28%,-28.85%,5.03%,1.83,0.15,4.05%,4.06%,5.11%,19.01%,37.29%,-2.93%,66.81%,-41.36%,183.57%,72.69,1.79%,-1.76%,2.70,238.99,0.54,3.97,0.00%,7339,11/3/2020 4:30:00 PM,3.75,12/23/1997,,
8,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9304.95,,,,0.38,,1.12,,,,-13.85,25.20%,72.70%,-0.70%,,1.40%,-590.60%,-73.40%,509.05,502.83,0.93%,0.00%,45.40%,0.08%,31.98%,2.13,-10.20%,219.80%,10.30%,0.70,0.60,,,51.80%,-29.10%,-25.60%,-4.06%,-14.18%,15.01%,26.72%,-45.87%,-4.06%,1.85,0.80,4.33%,4.76%,-7.56%,3.00%,15.38%,-19.99%,40.22%,-51.58%,80.67%,43.80,0.57%,-2.05%,3.50,75435.87,1.02,14.90,-1.49%,4411655,10/22/2020 8:30:00 AM,11.36,12/9/2013,,
9,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",36.50,,,,8.90,,1.19,6.52,,,-12.65,74.20%,,-15.80%,,-48.20%,45.40%,,1.63,0.61,6.30%,0.00%,15.40%,,0.77%,0.98,-6.30%,1.70%,4.50%,,,,,,,-89.10%,-5.05%,-2.86%,6.62%,41.44%,60.96%,-5.05%,0.58,0.74,3.20%,2.59%,-2.44%,-1.98%,21.80%,-12.94%,15.29%,-30.30%,119.22%,45.61,0.00%,0.36%,,4.78,0.00,22.47,0.36%,1,,,12/13/2012,,
10,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",48.20,73.03,,,0.26,0.38,5.42,10.26,,34.00%,0.03,28.70%,,-17.10%,,3.60%,210.50%,-2.90%,20.44,4.08,2.80%,0.00%,5.50%,,0.06%,0.08,0.30%,1.00%,1.10%,,,0.26,0.26,,2.10%,0.60%,16.99%,13.15%,19.31%,48.77%,27.54%,16.99%,0.21,0.15,10.79%,5.95%,9.12%,11.60%,20.50%,-13.62%,20.50%,-30.75%,52.53%,59.60,-1.63%,1.66%,,28.87,0.06,2.41,0.00%,106,,,3/17/1980,,
