"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"AACG",2.56%,3.45%,12.15%,2.48%,-20.40%,-11.82%,3.10%,4.44%,,79.99,0.15,1.18,-1.67%,12370
2,"AAU",-22.21%,-53.60%,-42.78%,0.59%,2.86%,-12.56%,15.66%,11.83%,,995.60,5.10,0.49,-5.61%,5080275
3,"ADIL",-4.15%,8.82%,41.22%,28.47%,-19.91%,-23.24%,5.98%,7.82%,2.00,2597.66,0.08,1.82,-1.62%,195892
4,"ADMP",-5.25%,21.98%,-35.57%,-16.20%,-15.77%,-29.17%,4.68%,7.71%,3.00,4539.87,0.50,0.49,-1.77%,2253984
5,"AEHR",5.85%,32.32%,43.71%,11.28%,17.93%,8.50%,3.27%,7.39%,,337.06,0.53,2.29,5.53%,179579
6,"AEMD",35.15%,51.70%,70.23%,9.85%,-15.21%,131.57%,17.71%,10.45%,2.00,2094.71,0.19,2.14,-4.04%,394710
7,"AESE",0.66%,59.00%,8.57%,-38.96%,-45.52%,-41.54%,15.05%,11.12%,1.50,1360.99,1.45,1.54,1.32%,1969958
8,"AEZS",2.95%,11.64%,-3.38%,-58.59%,-52.85%,-58.59%,6.38%,9.99%,,1985.86,2.26,0.38,-0.48%,4478184
9,"AFI",1.20%,7.30%,-16.95%,11.55%,-18.16%,-20.84%,5.17%,6.52%,3.00,373.96,0.79,3.59,6.21%,296458
10,"AGE",-1.21%,-0.61%,84.91%,95.12%,5.16%,-10.44%,4.62%,6.94%,,5727.10,0.02,1.65,1.23%,136099
11,"AIHS",-2.75%,-8.62%,128.20%,51.17%,70.97%,58.21%,5.99%,12.03%,,6374.40,0.19,1.03,-2.36%,1229046
12,"AIRI",-3.33%,-4.92%,3.57%,2.65%,-32.95%,-49.57%,4.26%,8.25%,2.00,469.60,0.08,1.16,0.00%,36926
13,"AKTX",-4.64%,16.35%,10.12%,-13.95%,4.52%,5.71%,6.60%,8.59%,2.00,179.03,1.17,1.95,5.41%,208803
14,"ALJJ",-12.17%,-5.61%,27.85%,70.41%,-15.83%,-12.17%,12.60%,9.05%,,230.30,0.45,1.02,0.99%,103849
15,"ALNA",-5.22%,-5.22%,-3.79%,-25.07%,-43.56%,-53.48%,5.86%,6.77%,1.70,1347.05,0.54,1.26,-0.79%,732408
16,"ALRN",8.15%,-2.86%,-23.31%,-15.00%,62.52%,78.01%,5.52%,5.94%,1.40,904.85,1.46,1.06,3.92%,1318696
17,"AMPY",18.49%,58.43%,76.21%,-6.62%,-80.08%,-78.67%,13.96%,12.26%,2.50,1061.57,0.68,1.35,-4.26%,725564
18,"AMTX",3.51%,16.83%,-22.62%,182.74%,140.82%,184.34%,6.39%,9.86%,2.00,1460.69,32.73,3.19,35.17%,47801663
19,"ANIX",4.56%,26.15%,6.18%,18.03%,-1.08%,-16.16%,10.22%,16.21%,2.00,523.40,3.26,2.80,1.82%,1706143
20,"APEN",-8.40%,34.33%,158.99%,113.02%,25.00%,26.32%,9.83%,12.19%,2.00,138.42,0.49,3.47,-3.61%,67450
21,"ARC",-1.42%,3.73%,44.79%,31.13%,3.73%,0.00%,4.14%,6.46%,,268.49,0.58,1.39,0.00%,155728
22,"AREC",-10.64%,15.07%,12.00%,35.48%,194.69%,166.67%,7.61%,10.75%,2.50,3884.56,0.27,1.66,-1.19%,1045833
23,"ARTL",-4.55%,8.15%,-21.25%,-55.48%,-74.80%,-76.67%,9.37%,11.49%,3.00,2292.36,0.22,0.62,-0.90%,506135
24,"ASLN",0.00%,20.47%,24.15%,5.64%,-5.94%,1.48%,6.58%,8.65%,2.30,423.67,0.29,2.02,-1.94%,123074
