No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
21,AREC,American Resources Corporation,Energy,Thermal Coal,USA,62.02M,-,5.93,-,8.50,-,77.52,-,-,-,-1.53,20.60%,264.70%,-,-,-,101.60%,-83.30%,26.79M,16.28M,31.20%,0.00%,1.10%,-18.62%,3.49%,0.15,-129.90%,123.00%,-,0.10,0.00,-,-,-,-,-,-9.29%,12.93%,19.42%,39.50%,207.86%,163.49%,-,0.17,7.14%,10.83%,-7.50%,2.00%,25.75%,-31.69%,31.75%,-66.33%,418.75%,47.75,-1.19%,1.20%,2.50,3.90M,0.16,1.66,0.00%,"616,836",-,-,11/25/2015,-,-
22,ARTL,"Artelo Biosciences, Inc.",Healthcare,Biotechnology,USA,9.60M,-,-,-,-,0.73,4.57,-,-,-,-1.29,-25.60%,6.10%,-,-,-,20.50%,-,15.11M,10.37M,11.48%,0.00%,28.85%,-0.34%,5.55%,0.25,-106.00%,-118.10%,-,4.70,4.70,0.00,0.00,-,-,-,-4.98%,4.41%,-21.57%,-55.08%,-75.23%,-76.88%,-,0.06,8.62%,10.32%,7.33%,13.18%,-31.80%,-19.89%,47.43%,-84.97%,47.43%,56.29,6.45%,0.04%,3.00,2.30M,2.20,0.66,6.49%,"5,000,777",-,-,11/14/2017,-,-
23,ASLN,ASLAN Pharmaceuticals Limited,Healthcare,Biotechnology,Singapore,63.77M,-,-,-,336.15,-,4.40,-,-,-,-1.33,-5.20%,-74.40%,-14.80%,-,-,59.70%,-,37.99M,37.99M,-,-,10.60%,-2.33%,0.06%,0.06,-190.20%,-,-283.20%,3.20,3.20,-,-,-,-,-,-9.01%,15.43%,5.21%,-4.72%,-14.77%,-0.49%,-,0.14,4.95%,8.58%,-0.85%,6.44%,14.44%,-21.54%,35.92%,-32.28%,132.53%,50.25,-3.50%,-0.99%,2.30,423.48K,0.55,1.93,-4.46%,"229,904",-,-,5/4/2018,-,-
24,ASTC,Astrotech Corporation,Industrials,Aerospace & Defense,USA,37.15M,-,-,-,61.92,-,19.55,-,-,-,-1.24,14.10%,-,12.90%,-,-1.00%,26.10%,13900.00%,18.56M,14.53M,13.37%,0.00%,5.60%,5.86%,0.54%,0.02,-164.60%,-,-219.30%,0.70,0.50,-,-,10.40%,-,-,2.13%,10.34%,28.85%,-33.56%,6.08%,6.67%,-0.76,0.13,7.33%,7.13%,2.06%,1.47%,-18.33%,-68.89%,22.44%,-75.35%,94.90%,52.30,-0.52%,0.00%,-,3.36M,0.11,1.91,-0.52%,"379,493",-,-,12/21/1995,-,-
25,ATHE,Alterity Therapeutics Limited,Healthcare,Biotechnology,Australia,53.07M,-,-,-,-,4.51,-,-,-,-,-0.69,25.00%,-,-5.10%,-,-,2.90%,-,15.36M,12.46M,18.70%,0.00%,4.30%,18.16%,2.90%,0.16,-92.10%,-117.50%,-,3.60,3.60,0.00,0.00,-,-,-,5.33%,-1.25%,-34.17%,150.95%,100.00%,102.56%,1.66,0.19,6.21%,6.76%,1.46%,-2.93%,13.11%,-57.82%,38.53%,-70.68%,439.29%,49.37,-4.43%,0.00%,-,2.29M,0.12,1.51,-4.43%,"283,464",-,-,9/5/2002,-,-
26,ATIF,ATIF Holdings Limited,Financial,Capital Markets,China,36.47M,-,-,-,30.39,3.19,15.86,-,-,-,-0.10,-75.80%,-,-,-,-,-291.20%,-82.40%,37.08M,11.38M,77.84%,0.00%,0.40%,201.33%,0.37%,0.04,-,-,3.50%,4.60,4.60,0.00,0.00,-,-,-,-2.34%,-5.24%,-37.39%,-64.22%,-63.67%,-64.04%,-,0.04,4.01%,5.69%,-9.18%,-25.37%,-53.94%,-58.12%,3.08%,-82.13%,3.08%,30.80,-4.95%,0.54%,-,1.05M,1.53,0.67,-4.44%,"1,596,126",-,-,5/3/2019,-,-
27,AVCO,Avalon GloboCare Corp.,Healthcare,Medical Care Facilities,USA,94.46M,-,-,-,67.47,16.43,67.47,-,-,-,-0.19,-122.80%,-,-,-,-,20.90%,-25.00%,80.62M,27.90M,65.73%,0.00%,3.30%,-0.26%,7.02%,5.37,-140.60%,-329.20%,-251.70%,0.90,-,0.62,0.00,32.60%,-,-,-1.71%,-4.17%,0.00%,-27.90%,-41.03%,-40.41%,0.54,0.06,4.87%,5.24%,1.40%,3.47%,-13.89%,-7.52%,16.04%,-43.93%,146.00%,54.65,6.96%,0.00%,-,364.71K,1.02,1.23,6.96%,"368,707",-,-,12/6/2016,-,-
28,AZRX,"AzurRx BioPharma, Inc.",Healthcare,Biotechnology,USA,23.99M,-,-,-,-,1.59,2.10,-,-,-,-0.88,22.80%,42.10%,-22.50%,-,-,-181.20%,-,28.52M,27.04M,11.09%,0.00%,5.20%,11.04%,0.64%,1.09,-243.00%,-472.30%,-,4.40,4.40,0.00,0.00,-,-,-,-0.36%,0.66%,3.46%,-15.21%,-22.76%,-24.99%,1.77,0.05,6.76%,5.79%,3.87%,6.06%,2.35%,-6.90%,20.86%,-58.22%,118.38%,58.10,5.13%,-1.24%,2.00,158.42K,1.50,0.81,3.82%,"234,859",-,-,10/11/2016,-,-
29,BBI,"Brickell Biotech, Inc.",Healthcare,Biotechnology,USA,38.04M,-,-,-,15.22,1.06,1.88,-,-,-,-2.41,13.60%,31.00%,19.10%,-,-12.30%,90.70%,-91.70%,53.52M,52.23M,1.20%,8.86%,9.90%,-8.54%,1.11%,0.26,-114.80%,-187.40%,-291.40%,3.50,3.50,0.01,0.03,-,-,-,-0.11%,19.45%,-9.04%,-37.94%,-51.71%,-52.83%,0.30,0.04,4.61%,5.86%,7.05%,13.78%,-23.02%,-23.85%,57.68%,-81.54%,57.68%,62.58,4.99%,-1.07%,1.50,2.24M,1.34,0.73,3.86%,"2,976,820",Nov 12/a,-,3/10/1993,-,-
30,BBW,"Build-A-Bear Workshop, Inc.",Consumer Cyclical,Specialty Retail,USA,66.99M,-,13.77,-,0.25,1.09,2.60,3.37,-,-,-1.83,101.40%,127.80%,-59.30%,30.00%,-2.20%,127.40%,6.10%,15.00M,13.32M,9.00%,-28.79%,61.10%,-8.47%,5.03%,4.11,-9.90%,-40.70%,0.30%,1.00,0.40,0.00,0.00,41.40%,-8.80%,-10.30%,-8.22%,5.90%,31.95%,98.56%,34.09%,27.47%,1.89,0.30,5.18%,6.85%,-6.12%,2.48%,48.61%,-17.19%,41.83%,-28.35%,302.97%,45.99,-2.16%,0.73%,2.00,162.84K,0.27,4.07,-1.45%,"43,345",Dec 03/b,7.50,10/28/2004,-,-
