No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
21,ARTL,"Artelo Biosciences, Inc.",Healthcare,Biotechnology,USA,9.60M,-,-,-,-,0.73,4.57,-,-,-,-1.29,-25.60%,6.10%,-,-,-,20.50%,-,15.11M,10.37M,11.48%,0.00%,28.85%,-0.34%,5.55%,0.25,-106.00%,-118.10%,-,4.70,4.70,0.00,0.00,-,-,-,-4.98%,4.41%,-21.57%,-55.08%,-75.23%,-76.88%,-,0.06,8.62%,10.32%,7.33%,13.18%,-31.80%,-19.89%,47.43%,-84.97%,47.43%,56.29,6.45%,0.04%,3.00,2.30M,2.20,0.66,6.49%,"5,000,777",-,-,11/14/2017,-,-
22,ASLN,ASLAN Pharmaceuticals Limited,Healthcare,Biotechnology,Singapore,63.77M,-,-,-,336.15,-,4.40,-,-,-,-1.33,-5.20%,-74.40%,-14.80%,-,-,59.70%,-,37.99M,37.99M,-,-,10.60%,-2.33%,0.06%,0.06,-190.20%,-,-283.20%,3.20,3.20,-,-,-,-,-,-9.01%,15.43%,5.21%,-4.72%,-14.77%,-0.49%,-,0.14,4.95%,8.58%,-0.85%,6.44%,14.44%,-21.54%,35.92%,-32.28%,132.53%,50.25,-3.50%,-0.99%,2.30,423.48K,0.55,1.93,-4.46%,"229,904",-,-,5/4/2018,-,-
23,ASTC,Astrotech Corporation,Industrials,Aerospace & Defense,USA,37.15M,-,-,-,61.92,-,19.55,-,-,-,-1.24,14.10%,-,12.90%,-,-1.00%,26.10%,13900.00%,18.56M,14.53M,13.37%,0.00%,5.60%,5.86%,0.54%,0.02,-164.60%,-,-219.30%,0.70,0.50,-,-,10.40%,-,-,2.13%,10.34%,28.85%,-33.56%,6.08%,6.67%,-0.76,0.13,7.33%,7.13%,2.06%,1.47%,-18.33%,-68.89%,22.44%,-75.35%,94.90%,52.30,-0.52%,0.00%,-,3.36M,0.11,1.91,-0.52%,"379,493",-,-,12/21/1995,-,-
24,ATHE,Alterity Therapeutics Limited,Healthcare,Biotechnology,Australia,53.07M,-,-,-,-,4.51,-,-,-,-,-0.69,25.00%,-,-5.10%,-,-,2.90%,-,15.36M,12.46M,18.70%,0.00%,4.30%,18.16%,2.90%,0.16,-92.10%,-117.50%,-,3.60,3.60,0.00,0.00,-,-,-,5.33%,-1.25%,-34.17%,150.95%,100.00%,102.56%,1.66,0.19,6.21%,6.76%,1.46%,-2.93%,13.11%,-57.82%,38.53%,-70.68%,439.29%,49.37,-4.43%,0.00%,-,2.29M,0.12,1.51,-4.43%,"283,464",-,-,9/5/2002,-,-
25,ATIF,ATIF Holdings Limited,Financial,Capital Markets,China,36.47M,-,-,-,30.39,3.19,15.86,-,-,-,-0.10,-75.80%,-,-,-,-,-291.20%,-82.40%,37.08M,11.38M,77.84%,0.00%,0.40%,201.33%,0.37%,0.04,-,-,3.50%,4.60,4.60,0.00,0.00,-,-,-,-2.34%,-5.24%,-37.39%,-64.22%,-63.67%,-64.04%,-,0.04,4.01%,5.69%,-9.18%,-25.37%,-53.94%,-58.12%,3.08%,-82.13%,3.08%,30.80,-4.95%,0.54%,-,1.05M,1.53,0.67,-4.44%,"1,596,126",-,-,5/3/2019,-,-
26,AVCO,Avalon GloboCare Corp.,Healthcare,Medical Care Facilities,USA,94.46M,-,-,-,67.47,16.43,67.47,-,-,-,-0.19,-122.80%,-,-,-,-,20.90%,-25.00%,80.62M,27.90M,65.73%,0.00%,3.30%,-0.26%,7.02%,5.37,-140.60%,-329.20%,-251.70%,0.90,-,0.62,0.00,32.60%,-,-,-1.71%,-4.17%,0.00%,-27.90%,-41.03%,-40.41%,0.54,0.06,4.87%,5.24%,1.40%,3.47%,-13.89%,-7.52%,16.04%,-43.93%,146.00%,54.65,6.96%,0.00%,-,364.71K,1.02,1.23,6.96%,"368,707",-,-,12/6/2016,-,-
27,AZRX,"AzurRx BioPharma, Inc.",Healthcare,Biotechnology,USA,23.99M,-,-,-,-,1.59,2.10,-,-,-,-0.88,22.80%,42.10%,-22.50%,-,-,-181.20%,-,28.52M,27.04M,11.09%,0.00%,5.20%,11.04%,0.64%,1.09,-243.00%,-472.30%,-,4.40,4.40,0.00,0.00,-,-,-,-0.36%,0.66%,3.46%,-15.21%,-22.76%,-24.99%,1.77,0.05,6.76%,5.79%,3.87%,6.06%,2.35%,-6.90%,20.86%,-58.22%,118.38%,58.10,5.13%,-1.24%,2.00,158.42K,1.50,0.81,3.82%,"234,859",-,-,10/11/2016,-,-
28,BBI,"Brickell Biotech, Inc.",Healthcare,Biotechnology,USA,38.04M,-,-,-,15.22,1.06,1.88,-,-,-,-2.41,13.60%,31.00%,19.10%,-,-12.30%,90.70%,-91.70%,53.52M,52.23M,1.20%,8.86%,9.90%,-8.54%,1.11%,0.26,-114.80%,-187.40%,-291.40%,3.50,3.50,0.01,0.03,-,-,-,-0.11%,19.45%,-9.04%,-37.94%,-51.71%,-52.83%,0.30,0.04,4.61%,5.86%,7.05%,13.78%,-23.02%,-23.85%,57.68%,-81.54%,57.68%,62.58,4.99%,-1.07%,1.50,2.24M,1.34,0.73,3.86%,"2,976,820",Nov 12/a,-,3/10/1993,-,-
29,BBW,"Build-A-Bear Workshop, Inc.",Consumer Cyclical,Specialty Retail,USA,66.99M,-,13.77,-,0.25,1.09,2.60,3.37,-,-,-1.83,101.40%,127.80%,-59.30%,30.00%,-2.20%,127.40%,6.10%,15.00M,13.32M,9.00%,-28.79%,61.10%,-8.47%,5.03%,4.11,-9.90%,-40.70%,0.30%,1.00,0.40,0.00,0.00,41.40%,-8.80%,-10.30%,-8.22%,5.90%,31.95%,98.56%,34.09%,27.47%,1.89,0.30,5.18%,6.85%,-6.12%,2.48%,48.61%,-17.19%,41.83%,-28.35%,302.97%,45.99,-2.16%,0.73%,2.00,162.84K,0.27,4.07,-1.45%,"43,345",Dec 03/b,7.50,10/28/2004,-,-
30,BHAT,Fujian Blue Hat Interactive Entertainment Technology Ltd.,Communication Services,Electronic Gaming & Multimedia,China,31.24M,3.03,-,-,1.47,0.65,2.74,-,-,-,0.28,13.50%,-,-,-,-,-88.40%,-66.70%,35.14M,12.87M,64.75%,0.00%,2.50%,172.31%,5.10%,0.92,-,-,17.80%,3.40,3.40,0.00,0.04,-,-,-,-8.07%,-1.78%,-15.53%,-32.42%,-65.66%,-57.98%,-,0.06,5.37%,7.01%,-5.11%,-3.22%,-17.61%,-26.07%,11.65%,-68.39%,34.78%,44.00,0.62%,0.04%,-,710.68K,0.72,0.85,0.65%,"508,308",-,-,7/26/2019,-,-
31,BHTG,"BioHiTech Global, Inc.",Industrials,Pollution & Treatment Controls,USA,28.02M,-,-,-,6.37,-,5.60,-,-,-,-0.63,49.90%,75.40%,0.00%,-,22.70%,-27.00%,-50.00%,22.05M,18.17M,6.30%,0.22%,1.80%,9.00%,0.34%,0.15,-20.30%,255.60%,-21.60%,0.50,0.50,-,-,-8.10%,-,-,0.00%,-4.03%,-3.25%,-20.67%,-24.20%,-30.00%,1.47,0.08,4.18%,6.95%,-5.04%,-3.26%,-12.75%,-27.94%,9.38%,-72.16%,21.29%,45.27,2.08%,0.84%,2.00,420.13K,1.17,1.23,2.94%,"484,759",Nov 16/a,2.00,10/28/2015,-,-
32,BIOC,"Biocept, Inc.",Healthcare,Diagnostics & Research,USA,68.83M,-,-,-,6.43,2.52,4.07,-,-,-,-3.96,86.40%,64.00%,-,40.00%,110.60%,82.60%,340.00%,13.40M,12.49M,0.02%,0.00%,14.90%,-11.34%,3.60%,0.70,-89.80%,-125.10%,-178.70%,2.90,2.50,0.06,0.11,-32.30%,-,-,-9.66%,3.70%,12.77%,-32.01%,97.76%,66.78%,0.89,0.44,5.52%,7.49%,-2.19%,2.00%,-7.87%,-23.70%,17.89%,-62.73%,129.41%,48.41,-1.12%,2.73%,2.00,640.15K,1.27,4.85,1.57%,"807,860",Nov 12/a,-,2/5/2014,-,-
33,BKEP,"Blueknight Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,86.97M,-,11.11,-,0.28,0.25,86.97,21.21,7.58%,-,-0.22,89.50%,1050.00%,-23.10%,4.00%,14.70%,626.10%,-6.40%,41.17M,34.77M,0.50%,0.00%,27.80%,7.20%,0.02%,0.03,-3.30%,-2.80%,5.60%,0.70,0.70,0.75,0.00,48.90%,8.50%,-3.10%,19.89%,29.45%,47.55%,50.71%,80.34%,86.73%,2.21,0.10,6.79%,5.11%,20.93%,36.70%,55.75%,-1.36%,65.65%,-1.36%,309.43%,76.24,2.36%,0.47%,3.00,238.49K,1.66,2.17,2.84%,"390,999",Nov 04/a,2.00,7/18/2007,-,-
34,BLRX,BioLineRx Ltd.,Healthcare,Biotechnology,Israel,59.27M,-,-,-,-,2.08,-,-,-,-,-1.97,45.50%,0.70%,-,-,-,-,-,22.62M,19.77M,-,-,28.83%,-,11.46%,0.40,-,-,-,-,-,-,-,-,-,-,-27.62%,-0.76%,60.74%,48.86%,23.58%,16.44%,-,0.31,12.49%,10.17%,2.13%,16.66%,40.33%,-29.81%,86.51%,-29.81%,146.12%,51.93,0.43%,-0.76%,1.70,5.64M,0.21,2.61,-0.34%,"1,192,265",Nov 23/b,-,7/25/2011,-,-
35,BPT,BP Prudhoe Bay Royalty Trust,Energy,Oil & Gas Refining & Marketing,USA,59.85M,3.90,-,-,3.61,-,299.27,-,15.25%,106.50%,0.71,-57.70%,-,-26.70%,-,-26.50%,-102.40%,-,21.40M,21.40M,1.00%,0.00%,2.20%,-25.25%,4.47%,3.12,-,-,5320.80%,-,-,-,-,-,-,92.10%,-17.51%,61.63%,73.75%,-26.06%,-59.06%,-59.59%,0.50,0.33,8.09%,14.24%,2.19%,42.72%,-3.80%,-32.00%,129.37%,-69.50%,129.37%,55.02,3.96%,0.00%,-,306.98K,1.28,2.89,3.96%,"387,790",-,-,5/23/1989,-,-
36,CANF,Can-Fite BioPharma Ltd.,Healthcare,Biotechnology,Israel,28.36M,-,-,-,35.23,2.92,-,-,-,-,-1.47,63.60%,45.80%,-,-,-,-,-81.70%,15.41M,14.76M,1.19%,0.00%,7.72%,-,2.03%,0.68,-,-,-,-,-,-,-,-,-,-,-3.16%,-0.81%,5.08%,3.37%,-37.84%,-44.24%,-,0.11,3.18%,6.25%,-1.55%,0.40%,-2.16%,-17.12%,12.20%,-54.69%,70.37%,48.59,-1.08%,1.09%,2.00,444.35K,1.58,1.84,0.00%,"694,441",Nov 30/b,-,11/1/2012,-,-
37,CAPR,"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,USA,82.18M,-,-,-,164.36,2.58,2.33,-,-,-,-1.07,60.10%,-14.80%,17.30%,-,-26.80%,53.90%,-88.10%,20.45M,19.93M,0.50%,0.00%,6.10%,33.52%,5.45%,2.01,-44.40%,-55.80%,-75.80%,15.60,15.60,0.12,0.12,-,-,-,-5.92%,-7.67%,-22.31%,-19.14%,245.91%,210.16%,6.67,0.24,4.00%,5.90%,-7.09%,-9.15%,-15.32%,-21.85%,1.83%,-68.34%,343.17%,37.65,-3.23%,1.51%,2.00,542.07K,0.90,3.90,-1.77%,"482,908",Nov 12/a,-,6/20/2002,-,-
38,CATB,"Catabasis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,41.62M,-,-,-,-,0.83,-,-,-,-,-2.14,54.10%,65.70%,31.70%,-,-,0.20%,-,20.08M,20.06M,0.13%,0.00%,51.00%,2.84%,2.34%,0.09,-65.00%,-73.70%,-,8.00,8.00,0.00,0.00,-,-,-,-0.47%,55.88%,-66.08%,-71.23%,-63.13%,-64.13%,2.17,0.20,7.79%,13.06%,23.44%,-5.59%,-53.82%,-63.23%,90.00%,-72.35%,90.00%,58.85,12.03%,0.00%,3.00,5.00M,0.46,2.38,12.03%,"2,259,192",-,-,6/25/2015,-,-
