"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"TOMZ","TOMI Environmental Solutions, Inc.","Industrials","Pollution & Treatment Controls","USA",68.92,11.05,,,2.97,5.06,11.68,14.98,,0.00%,0.36,29.50%,,-60.80%,,23.10%,460.90%,168.70%,16.74,10.08,0.10%,0.00%,,,0.58%,0.31,49.00%,78.10%,-35.30%,5.00,3.50,0.03,0.03,60.00%,30.10%,29.10%,-1.23%,-8.68%,-29.82%,-58.33%,448.85%,343.26%,-5.72,0.44,7.99%,9.65%,11.60%,-21.09%,-36.35%,-53.91%,27.88%,-72.01%,521.09%,51.17,19.25%,0.00%,,186.14,1.77,4.77,19.25%,328880,11/12/2020 4:30:00 PM,,6/20/2008,4.76,-0.21%
2,"IRIX","IRIDEX Corporation","Healthcare","Medical Devices","USA",23.67,,,,0.66,1.35,1.99,,,,-0.56,38.80%,46.40%,-21.60%,30.00%,0.30%,4.60%,-17.80%,13.89,11.23,2.40%,0.00%,47.70%,-3.06%,1.62%,2.52,-25.00%,-38.60%,-39.70%,2.80,2.00,0.06,0.14,41.40%,-22.10%,-21.50%,-0.59%,-1.18%,-7.18%,-23.64%,-30.00%,-24.66%,1.09,0.10,5.37%,5.48%,10.70%,8.24%,2.54%,-4.85%,22.50%,-53.77%,60.66%,62.40,5.38%,10.71%,,72.54,5.28,1.96,16.67%,382786,11/9/2020 4:30:00 PM,,2/16/1996,,
3,"DXYN","The Dixie Group, Inc.","Consumer Cyclical","Textile Manufacturing","USA",41.06,2.18,,,0.13,0.55,,2.42,,0.00%,1.05,172.00%,,83.80%,,-1.60%,136.20%,-10.00%,15.33,13.19,11.66%,0.00%,33.80%,-6.44%,0.30%,0.18,7.00%,25.00%,13.60%,2.20,0.70,1.07,1.17,24.00%,7.00%,5.30%,-9.52%,19.37%,183.79%,165.12%,107.27%,100.00%,2.87,0.25,10.95%,11.19%,6.66%,50.79%,143.07%,-10.96%,217.07%,-10.96%,390.94%,61.27,10.64%,3.07%,,217.32,0.79,2.60,14.04%,171650,11/5/2020 8:30:00 AM,,11/25/1986,2.59,-0.38%
4,"EGY","VAALCO Energy, Inc.","Energy","Oil & Gas E&P","USA",96.01,,,,1.26,1.46,2.29,,,,-0.75,-102.90%,,48.30%,2.00%,-7.90%,301.30%,4.00%,57.46,52.91,5.00%,0.00%,44.50%,-4.31%,0.54%,0.42,-26.30%,-60.60%,-2.50%,1.40,1.40,0.00,0.00,58.30%,-19.80%,-56.90%,6.45%,-5.71%,65.18%,37.50%,-18.32%,-25.68%,2.50,0.12,5.39%,6.62%,17.87%,47.84%,68.81%,2.19%,132.30%,-28.08%,167.14%,70.77,12.65%,0.61%,1.00,682.16,1.22,1.87,13.33%,832638,11/5/2020 4:30:00 PM,,1/29/1993,1.92,2.67%
5,"VERB","Verb Technology Company, Inc.","Technology","Software - Application","USA",81.03,,,,7.79,3.49,7.57,,,,-0.84,35.80%,22.00%,16.00%,,,-32.00%,0.00%,41.22,39.52,13.10%,0.00%,5.80%,491.62%,0.25%,0.15,-75.40%,-183.30%,-113.50%,0.80,0.80,0.07,0.21,53.50%,,,31.21%,71.30%,71.30%,79.61%,36.03%,19.35%,0.94,0.16,13.43%,9.84%,54.75%,72.27%,71.49%,-5.00%,102.91%,-20.83%,132.22%,82.95,12.37%,0.54%,1.70,655.46,3.01,2.09,12.97%,1969745,11/16/2020 4:30:00 PM,3.05,11/19/2014,2.10,0.48%
6,"CPHI","China Pharma Holdings, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","China",18.57,,,,1.69,2.33,61.89,,,,-0.47,-92.60%,,12.10%,10.00%,-13.20%,-44.10%,0.00%,43.58,21.94,0.30%,0.00%,3.00%,7.80%,0.71%,0.28,-91.70%,-240.90%,-149.00%,0.40,0.10,0.11,0.62,15.30%,,,-4.52%,-0.02%,13.57%,-32.56%,73.63%,77.36%,0.43,0.04,6.41%,11.49%,2.01%,8.02%,-0.79%,-21.66%,26.62%,-66.54%,108.22%,55.83,11.55%,0.00%,2.00,565.87,2.64,0.47,11.55%,1496461,,,4/17/2002,0.46,-1.81%
7,"RIBT","RiceBran Technologies","Consumer Defensive","Packaged Foods","USA",24.41,,,,0.97,0.99,6.26,,,,-0.35,-15.80%,73.30%,36.00%,40.00%,-10.00%,32.50%,-1.90%,40.82,39.30,0.90%,4.01%,43.00%,0.90%,0.38%,0.25,-36.10%,-49.40%,-42.90%,1.60,1.40,0.10,0.22,-12.00%,-52.30%,-53.50%,4.86%,-5.01%,36.36%,-35.77%,-61.81%,-61.55%,0.39,0.05,5.78%,9.67%,9.27%,13.25%,-17.85%,-16.00%,47.78%,-58.52%,69.35%,61.10,8.62%,2.62%,2.00,590.98,2.00,0.63,11.46%,1180654,11/5/2020 4:30:00 PM,,7/18/2001,0.63,-0.03%
8,"TURN","180 Degree Capital Corp.","Financial","Asset Management","USA",58.81,,,,36.75,0.71,7.44,29.40,,,-0.12,,,24.40%,30.00%,11.60%,-217.10%,50.00%,31.12,29.22,5.20%,14.50%,33.20%,2.54%,0.17%,0.89,-4.30%,-4.40%,-5.10%,,,0.00,0.00,,,,3.25%,-1.53%,1.22%,7.82%,-9.39%,-10.23%,1.05,0.08,4.61%,4.18%,8.64%,13.63%,23.49%,2.38%,29.52%,-6.52%,106.73%,67.24,10.26%,1.04%,,56.97,31.16,2.15,11.40%,1775049,11/18/2020 4:30:00 PM,,3/16/1983,2.18,1.40%
9,"SEAC","SeaChange International, Inc.","Technology","Software - Application","USA",29.88,,,,0.83,0.85,5.06,,,,-0.47,77.20%,41.70%,21.90%,,-10.30%,-339.80%,-75.60%,37.56,27.91,2.70%,0.00%,28.20%,-13.70%,1.31%,1.14,-27.60%,-41.30%,-17.90%,2.30,,0.03,0.07,58.30%,-52.20%,-48.20%,-3.95%,-20.61%,-13.85%,-47.73%,-81.07%,-81.16%,0.69,0.09,7.52%,11.36%,-2.34%,4.18%,-46.23%,-20.35%,26.99%,-82.40%,26.99%,50.88,12.33%,-1.18%,2.50,319.16,2.34,0.88,11.01%,746252,12/10/2020 4:30:00 PM,,11/5/1996,0.89,1.57%
10,"IO","ION Geophysical Corporation","Energy","Oil & Gas Equipment & Services","USA",35.98,,,,0.26,,0.70,1.38,,,-2.71,34.40%,17.50%,21.90%,18.00%,-19.30%,-343.00%,-69.50%,14.28,10.74,2.50%,0.00%,35.80%,-7.04%,10.18%,2.46,-16.30%,83.90%,-38.40%,0.70,0.60,,,36.00%,-14.60%,-27.90%,-11.33%,35.12%,56.55%,-5.81%,-74.67%,-73.85%,4.13,0.19,7.87%,9.40%,10.74%,35.79%,24.14%,-7.04%,84.56%,-72.51%,122.12%,60.48,10.57%,0.00%,2.70,444.00,1.25,2.51,10.57%,556711,11/4/2020 4:30:00 PM,4.00,4/2/1991,2.52,0.40%
