"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"LXU","LSB Industries, Inc.","Basic Materials","Chemicals","USA",76.15,,,,0.23,0.40,1.81,,,,-3.70,8.00%,33.80%,-40.89%,12.00%,-5.90%,24.10%,-2.00%,28.21,25.56,0.60%,0.00%,33.30%,-11.65%,2.36%,3.17,-9.60%,-49.30%,-2.50%,1.40,1.20,2.64,2.73,2.40%,-10.90%,-31.00%,-5.55%,1.60%,57.41%,109.02%,-39.28%,-39.28%,2.86,0.23,8.42%,8.76%,21.90%,38.85%,88.51%,10.06%,83.24%,-22.43%,239.00%,66.36,30.38%,1.96%,,190.09,7.79,3.39,32.94%,1480146,11/5/2020 4:30:00 PM,,11/4/1969,3.33,-1.77%
2,"CCNC","Code Chain New Continent Limited","Industrials","Waste Management","China",45.59,,,,5.12,1.94,9.70,,,,-0.03,-12.60%,,,,,-292.90%,-62.70%,28.79,17.86,13.60%,0.00%,,152.02%,0.26%,0.06,,,-7.00%,2.90,2.60,0.00,0.02,-3.60%,,,8.55%,-2.37%,84.15%,-17.09%,87.50%,37.50%,0.93,0.16,8.96%,10.57%,16.76%,14.02%,19.97%,-7.62%,44.78%,-52.68%,177.10%,61.27,16.87%,0.61%,,762.17,1.24,1.94,17.58%,946923,,,12/29/2015,1.89,-2.58%
3,"ICON","Iconix Brand Group, Inc.","Consumer Cyclical","Apparel Manufacturing","USA",14.40,,,,0.12,,0.20,0.43,,,-9.93,36.20%,,-20.90%,15.00%,-17.60%,147.80%,-31.00%,13.17,12.75,4.24%,0.00%,15.60%,35.52%,0.86%,0.08,-18.90%,29.90%,-10.70%,1.30,1.30,,,,4.70%,-74.80%,-5.26%,24.14%,51.47%,15.14%,-20.00%,-20.00%,2.31,0.09,6.18%,9.35%,15.14%,41.92%,45.39%,-7.35%,108.26%,-34.37%,148.42%,66.69,13.51%,2.78%,2.00,1386.87,0.95,1.26,16.67%,1316847,,,1/22/1990,1.27,0.79%
4,"SRAX","SRAX, Inc.","Communication Services","Advertising Agencies","USA",45.04,,,,8.66,2.23,6.26,,,,-1.46,-257.70%,38.90%,-6.10%,15.00%,-6.90%,-516.60%,160.00%,14.48,13.42,16.26%,0.00%,4.20%,-4.61%,6.14%,8.82,-76.30%,-137.10%,-142.90%,0.70,0.70,0.18,0.42,61.80%,,,0.36%,-2.12%,-6.42%,6.95%,11.24%,11.24%,2.05,0.28,17.39%,9.37%,18.44%,15.85%,28.05%,-18.16%,50.97%,-18.16%,105.96%,61.95,6.87%,5.05%,2.00,93.36,6.89,3.11,12.27%,643449,11/16/2020 8:30:00 AM,,10/12/2012,3.23,3.86%
5,"TGA","TransGlobe Energy Corporation","Energy","Oil & Gas E&P","Canada",58.64,,,,0.53,0.46,2.16,1.44,,,-1.14,-125.50%,167.60%,-19.10%,-13.14%,-13.10%,-300.80%,-46.00%,72.54,66.31,6.30%,0.00%,38.00%,-4.24%,0.04%,0.03,-33.90%,-50.80%,1.10%,1.30,1.00,0.05,0.20,45.40%,-63.30%,-75.00%,-1.02%,72.34%,112.44%,47.63%,-36.88%,-36.88%,2.82,0.09,10.02%,15.38%,9.77%,56.37%,78.38%,-8.44%,161.18%,-38.57%,219.61%,62.21,-0.89%,11.37%,2.50,799.54,0.50,0.96,10.38%,399826,,,3/12/1984,0.94,-1.90%
6,"METX","Meten EdtechX Education Group Ltd.","Consumer Defensive","Education & Training Services","China",98.62,,,,0.97,,3.06,,,,-0.84,-221.30%,,,,,,-29.60%,53.29,15.69,70.56%,0.00%,7.00%,1.71%,2.07%,1.46,-24.40%,123.20%,,0.30,0.30,,,32.30%,,-36.50%,-2.13%,-36.33%,-68.22%,-84.68%,-81.93%,-82.08%,,0.25,8.55%,12.26%,-11.05%,-26.36%,-76.22%,-48.98%,11.42%,-91.89%,11.42%,39.53,6.95%,1.63%,,221.49,6.45,2.00,8.70%,1427920,,,10/17/2018,2.03,1.50%
7,"IMBI","iMedia Brands, Inc.","Consumer Cyclical","Internet Retail","USA",59.40,,,,0.13,1.85,3.13,297.01,,,-3.41,-125.00%,9.40%,-44.99%,30.00%,-5.70%,56.20%,-5.40%,12.18,10.10,2.40%,380.50%,17.70%,134.85%,0.35%,0.54,-13.40%,-146.20%,-59.80%,1.20,0.70,1.72,1.82,35.30%,-5.30%,-6.40%,7.82%,-25.25%,-23.97%,25.36%,10.53%,10.53%,2.75,0.39,6.02%,6.49%,-0.42%,-12.39%,10.13%,-38.48%,21.63%,-46.05%,254.07%,47.61,7.66%,0.68%,2.00,65.07,1.41,4.78,8.39%,91789,11/24/2020 8:30:00 AM,,6/28/1991,4.78,0.00%
8,"SDPI","Superior Drilling Products, Inc.","Energy","Oil & Gas Equipment & Services","USA",13.36,,,,1.00,3.10,9.54,19.08,,,-0.10,-325.00%,23.50%,3.60%,,-1.10%,-306.70%,-70.60%,25.56,10.41,59.38%,0.00%,7.50%,-4.42%,0.45%,0.07,-17.00%,-41.60%,-6.20%,0.60,0.50,0.40,1.43,52.20%,-21.50%,-20.00%,11.59%,21.17%,35.80%,-28.35%,-31.95%,-31.95%,0.31,0.06,14.06%,11.77%,15.77%,25.59%,12.59%,-6.97%,47.49%,-42.41%,201.60%,63.33,0.78%,7.53%,3.00,638.19,1.02,0.60,8.37%,648129,11/6/2020 8:30:00 AM,,5/23/2014,0.60,-0.61%
9,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",54.76,,,,2.91,4.42,8.69,,,,-0.10,47.60%,,26.00%,20.00%,17.30%,125.10%,-63.60%,23.25,20.00,8.00%,-4.05%,24.10%,-8.50%,0.90%,0.57,-10.70%,-15.50%,-17.70%,3.80,1.90,0.06,0.13,33.70%,-12.30%,-12.20%,2.18%,41.82%,68.35%,20.62%,17.00%,17.00%,1.23,0.15,7.35%,7.36%,16.07%,46.87%,46.35%,-1.93%,120.00%,-8.99%,130.00%,73.75,9.05%,-0.85%,,315.44,1.01,2.53,8.12%,318586,9/24/2020 4:30:00 PM,,8/15/1997,,
10,"ENG","ENGlobal Corporation","Industrials","Engineering & Construction","USA",63.23,102.41,,,0.91,5.71,4.98,210.77,,0.00%,0.03,74.10%,,-17.60%,,-12.20%,-54.50%,12.10%,27.51,12.65,11.10%,-4.06%,23.70%,3.66%,2.18%,0.10,2.60%,5.40%,-10.40%,2.10,2.10,0.26,0.48,14.10%,1.50%,1.20%,61.41%,42.79%,245.75%,185.58%,203.06%,203.06%,2.67,0.45,24.22%,15.61%,55.08%,110.45%,192.51%,-25.93%,323.45%,-25.93%,595.05%,74.44,8.84%,-1.01%,,2894.26,0.52,3.20,7.74%,1503826,,,1/20/1995,3.19,-0.31%
