"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"CHEK","Check-Cap Ltd.","Healthcare","Diagnostics & Research","Israel",19.90,,,,,0.94,0.93,,,,-1.01,33.60%,36.40%,12.40%,,,79.50%,,46.24,42.68,8.59%,0.00%,4.50%,-25.15%,1.81%,0.30,-90.10%,-112.20%,,8.30,8.30,0.00,0.00,,,,18.04%,17.95%,27.92%,-19.21%,-73.41%,-73.26%,0.45,0.05,19.12%,10.82%,302.22%,330.41%,181.96%,173.58%,496.71%,-38.82%,496.71%,93.45,104.14%,54.41%,2.00,2586.00,126.60,1.45,215.22%,327390469,,,3/18/2015,1.38,-4.83%
2,"JAGX","Jaguar Health, Inc.","Healthcare","Biotechnology","USA",74.00,,,,8.92,16.30,56.92,,,,-1.90,94.10%,,,40.00%,,89.70%,180.00%,94.87,63.07,9.39%,0.00%,7.60%,,3.67%,0.07,-98.40%,-853.40%,-208.00%,0.40,0.30,1.29,4.52,61.10%,,,-23.83%,77.95%,168.89%,71.58%,3.49%,1.75%,1.71,0.16,26.26%,24.35%,259.78%,425.68%,295.04%,37.98%,862.16%,37.98%,862.16%,80.85,101.81%,8.22%,1.00,34414.01,9.44,1.78,118.40%,324823911,11/16/2020 8:30:00 AM,,5/13/2015,1.77,-0.56%
3,"HOFV","Hall of Fame Resort & Entertainment Company","Communication Services","Entertainment","USA",66.10,,,,12.47,0.27,8.37,,,,-2.11,-103.70%,70.40%,,,,-748.20%,-22.90%,32.58,14.34,39.90%,108.13%,1.50%,86.55%,1.90%,0.07,-44.50%,-64.30%,,,,0.00,0.72,,,,-7.52%,-10.87%,-46.29%,-86.77%,-83.24%,-83.49%,,0.07,4.02%,4.55%,24.54%,2.50%,-65.77%,-73.95%,54.13%,-86.35%,54.13%,61.20,8.39%,26.02%,2.00,3630.17,4.24,1.68,36.59%,15393193,,,3/12/2018,1.67,-0.60%
4,"AVGR","Avinger, Inc.","Healthcare","Medical Devices","USA",40.11,,,,4.66,2.10,1.59,,,,-1.31,90.50%,71.20%,,,-4.00%,88.70%,-4.20%,84.92,84.59,0.40%,-8.51%,7.80%,-1.82%,0.76%,0.07,-82.90%,-279.70%,,1.70,1.50,0.06,0.86,29.80%,,,27.16%,47.44%,35.75%,32.56%,-63.02%,-61.39%,2.00,0.07,31.87%,14.58%,73.69%,97.50%,59.09%,-22.99%,177.23%,-55.09%,177.23%,74.49,9.77%,22.74%,2.50,9724.35,5.46,0.59,34.74%,53063247,,,1/30/2015,0.58,-2.19%
5,"SYN","Synthetic Biologics, Inc.","Healthcare","Biotechnology","USA",8.30,,,,,,1.38,,,,-0.71,75.90%,44.60%,38.60%,,,55.70%,,19.99,19.86,0.37%,0.00%,7.10%,-0.97%,1.04%,0.23,-109.60%,207.90%,,2.20,2.20,,,,,,7.13%,4.62%,-17.26%,-23.45%,-23.69%,-24.44%,2.30,0.03,10.61%,8.27%,36.25%,42.05%,19.89%,5.06%,76.53%,-33.32%,98.30%,71.38,28.23%,1.83%,2.50,905.22,10.93,0.50,30.57%,9892678,11/10/2020 4:30:00 PM,,4/5/1993,0.56,11.98%
6,"NSPR","InspireMD, Inc.","Healthcare","Medical Devices","Israel",13.20,,,,4.00,1.07,1.21,,,,-1.26,71.20%,52.40%,,,5.70%,94.90%,11.10%,34.88,32.51,9.00%,6.81%,2.80%,49.11%,2.03%,0.39,-73.10%,-110.90%,-182.20%,5.20,4.70,0.00,0.00,21.90%,,,-6.11%,-13.26%,2.74%,-26.64%,-69.01%,-68.44%,2.42,0.03,12.12%,8.86%,24.96%,23.61%,-9.74%,6.05%,37.50%,-73.17%,56.03%,67.14,14.58%,12.64%,2.00,1691.31,19.40,0.44,29.07%,32803250,11/9/2020 8:30:00 AM,,4/11/2011,0.44,1.00%
7,"EYES","Second Sight Medical Products, Inc.","Healthcare","Medical Devices","USA",48.81,,,,97.61,93.50,20.34,,,,-1.29,46.00%,,27.30%,,-0.10%,85.80%,,23.12,13.16,43.09%,0.00%,32.60%,1.20%,4.05%,0.27,-297.70%,,-465.10%,1.10,1.10,0.00,0.00,75.10%,,,-41.93%,24.67%,114.23%,94.53%,-68.27%,-68.50%,2.49,0.41,26.37%,18.45%,27.61%,86.73%,108.12%,-44.70%,226.39%,-63.28%,240.28%,59.52,18.09%,6.42%,2.00,1951.68,0.54,2.35,25.67%,1053956,,2.50,11/19/2014,2.35,0.00%
8,"SLRX","Salarius Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",17.70,,,,3.69,0.79,1.84,,,,-0.91,93.00%,18.50%,28.30%,,,86.90%,55.60%,17.97,16.26,0.60%,10.41%,25.70%,43.45%,2.87%,0.73,-39.50%,-45.20%,-74.50%,5.70,,0.00,0.04,,,,5.57%,21.67%,10.96%,-36.81%,-75.07%,-75.93%,1.98,0.11,7.08%,14.88%,18.22%,39.98%,17.07%,-18.71%,78.80%,-70.88%,103.53%,65.15,21.51%,2.20%,1.50,635.83,7.99,1.13,24.18%,5081290,11/11/2020 4:30:00 PM,,1/29/2015,1.10,-2.65%
9,"ASRT","Assertio Holdings, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",40.36,,3.25,,0.30,0.56,,,,,-2.24,-634.30%,-26.67%,-28.50%,25.00%,-10.10%,-292.20%,-37.20%,119.56,91.58,0.90%,-91.73%,55.10%,-6.62%,1.35%,0.47,-55.10%,-259.40%,-39.80%,0.80,0.70,1.02,1.16,88.40%,,,-4.64%,-13.41%,-44.98%,-56.39%,-69.95%,-71.39%,1.71,0.04,13.37%,10.47%,11.06%,-4.93%,-39.46%,-38.54%,33.33%,-74.27%,33.33%,55.15,14.67%,7.30%,2.30,2615.96,11.77,0.44,23.04%,30786736,11/6/2020 8:30:00 AM,,12/2/1997,0.44,-0.02%
10,"GHSI","Guardion Health Sciences, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",51.90,,,,27.32,3.46,5.30,,,,-0.12,22.50%,,-40.90%,,40.60%,63.30%,50.00%,88.32,84.89,3.89%,0.00%,5.00%,65.64%,0.48%,0.04,-68.10%,-75.30%,-87.50%,9.80,8.70,0.00,0.00,,,,11.74%,41.25%,97.62%,-1.21%,66.00%,88.37%,,0.07,35.30%,18.16%,76.92%,113.06%,44.64%,-20.53%,208.24%,-31.27%,208.24%,65.40,16.25%,5.42%,,11375.94,3.04,0.51,22.55%,34603355,11/12/2020 4:30:00 PM,,4/5/2019,0.51,-0.41%
