"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"TKAT",-3.08%,2.44%,50.72%,-16.46%,161.90%,152.51%,10.49%,16.91%,,75.02,265.64,2.16,71.43%,19929278
2,"NXTD",149.46%,194.17%,149.80%,57.79%,84.80%,105.29%,28.45%,17.48%,3.00,9334.32,42.16,1.42,54.22%,393507337
3,"SNCA",11.26%,33.17%,25.35%,-5.32%,-10.24%,-21.58%,12.57%,8.26%,,322.93,212.15,0.96,23.40%,68510031
4,"ZCMD",-1.72%,-9.53%,-3.66%,-21.56%,,-57.25%,4.63%,5.11%,,261.26,7.56,2.11,23.10%,1974792
5,"EDTK",-3.66%,-5.39%,-10.09%,,,-39.05%,4.51%,6.42%,,53.93,7.83,3.50,20.90%,422423
6,"METX",-20.68%,-44.54%,-77.83%,-83.51%,-81.44%,-81.69%,10.12%,9.79%,,108.22,32.09,2.27,20.74%,3472264
7,"AIKI",-17.70%,12.97%,-1.52%,-31.53%,-49.97%,-55.96%,8.77%,9.93%,,1499.54,9.53,0.69,19.97%,14290089
8,"CWBR",1.57%,12.17%,24.04%,-42.67%,-22.29%,-19.38%,6.25%,7.48%,2.00,479.91,2.39,1.54,19.38%,1146811
9,"HGBL",32.37%,81.46%,8.73%,56.57%,211.36%,180.16%,8.55%,8.20%,1.70,159.25,4.97,3.25,18.61%,792097
10,"AQMS",-1.71%,11.65%,19.16%,8.49%,154.37%,52.26%,6.50%,10.90%,1.00,862.90,2.34,1.35,17.39%,2016647
11,"IMH",-25.08%,60.54%,84.38%,22.92%,-52.80%,-55.13%,11.02%,10.21%,,147.02,1.03,2.76,16.95%,151374
12,"ATNF",7.42%,9.33%,-77.74%,-76.70%,-75.55%,-77.00%,14.54%,13.97%,,270.26,12.19,2.83,15.04%,3294653
13,"LPTH",2.56%,21.21%,24.51%,9.22%,384.85%,341.38%,6.44%,7.62%,2.00,282.18,3.95,3.68,15.00%,1115994
