No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
1,AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA,22.99M,-,-,-,2554.62,0.71,0.84,-,-,-,-0.75,-282.90%,-,57.80%,-,-,95.80%,-,34.99M,32.96M,5.62%,0.00%,13.10%,-1.32%,1.78%,0.34,-49.20%,-50.70%,-,59.60,59.60,0.00,0.00,-,-,-,-1.21%,15.53%,6.96%,-23.07%,-50.17%,-54.70%,1.85,0.06,11.85%,11.71%,6.07%,13.46%,-11.06%,-16.60%,37.93%,-88.24%,37.93%,55.36,5.82%,2.60%,-,1.72M,1.87,0.64,8.57%,"3,185,217",-,-,3/18/1980,-,-
2,AQMS,"Aqua Metals, Inc.",Industrials,Waste Management,USA,136.75M,-,-,-,195.36,3.68,24.42,-,-,-,-0.37,27.30%,-4.30%,-11.60%,35.00%,-,84.80%,-95.80%,61.00M,58.86M,1.90%,-17.89%,24.80%,16.72%,2.85%,0.97,-35.10%,-47.90%,-71.30%,1.50,1.30,0.21,0.21,-,-,-,113.68%,168.79%,174.73%,117.39%,412.72%,230.99%,1.63,0.21,22.94%,14.64%,67.85%,100.77%,138.14%,-17.17%,152.30%,-17.17%,565.15%,74.31,-15.58%,4.00%,1.00,1.72M,5.87,2.19,-12.20%,"10,023,890",Oct 22/a,-,7/31/2015,-,-
3,ATNF,180 Life Sciences Corp.,Healthcare,Biotechnology,USA,52.47M,-,-,-,-,2.10,104.94,-,-,-,-1.00,-130.90%,-,-,-,-,-,-,5.18M,4.60M,21.10%,-3.97%,4.80%,-15.57%,0.60%,0.04,-38.80%,-70.70%,-,0.20,0.20,0.00,0.37,-,-,-,19.25%,10.47%,-73.97%,-72.73%,-71.84%,-73.35%,-,0.40,17.63%,14.67%,11.10%,-45.09%,-68.89%,-74.46%,52.63%,-74.78%,52.63%,42.37,3.94%,-2.11%,-,659.02K,1.18,2.90,1.75%,"767,215",-,-,6/27/2017,-,-
4,CWBR,"CohBar, Inc.",Healthcare,Biotechnology,USA,84.23M,-,-,-,-,3.50,3.60,-,-,-,-0.34,20.00%,-6.50%,-16.70%,-,-,17.50%,-,50.20M,43.88M,2.70%,0.41%,12.40%,51.11%,4.30%,3.77,-97.40%,-150.60%,-,10.30,10.30,0.16,0.19,-,-,-,0.76%,14.66%,35.65%,-41.15%,-19.39%,-16.87%,2.68,0.11,10.16%,8.00%,4.53%,20.89%,-14.34%,-14.56%,54.29%,-68.24%,58.82%,56.77,3.85%,-2.26%,2.00,500.02K,0.79,1.35,1.50%,"389,423",Nov 16/a,-,1/28/2015,-,-
5,EDTK,Skillful Craftsman Education Technology Limited,Consumer Defensive,Education & Training Services,China,35.31M,3.76,-,-,1.23,-,2.97,3.60,-,0.00%,0.80,15.00%,-,-,-,-,17.00%,12.10%,11.73M,7.05M,41.25%,0.00%,0.20%,-,0.28%,0.31,-,-,35.50%,0.80,0.80,0.00,0.00,58.80%,46.30%,34.90%,3.79%,1.35%,2.73%,-,-,-36.63%,-,0.26,11.90%,7.77%,-4.85%,-3.90%,-14.43%,-21.96%,6.88%,-56.30%,6.88%,45.72,-1.67%,-0.33%,-,63.43K,1.35,2.95,-1.99%,"84,552",-,-,7/23/2020,-,-
6,HGBL,Heritage Global Inc.,Financial,Capital Markets,USA,123.43M,26.03,12.28,-,5.25,5.96,21.28,47.47,-,0.00%,0.13,2.60%,81.63%,16.50%,-,5.50%,-4.30%,15.20%,28.75M,24.66M,17.80%,38.06%,11.20%,11.78%,0.05%,0.07,16.70%,29.10%,32.50%,1.10,1.00,0.00,0.01,75.10%,9.70%,16.70%,31.20%,105.00%,42.61%,77.30%,264.44%,235.38%,1.56,0.22,14.66%,9.88%,42.66%,64.14%,71.94%,-3.51%,113.85%,-24.64%,475.56%,73.89,-3.51%,0.00%,1.70,196.91K,0.49,3.16,-3.51%,"96,361",Nov 09/a,4.17,3/23/1993,-,-
7,IMH,"Impac Mortgage Holdings, Inc.",Financial,Mortgage Finance,USA,61.77M,-,4.18,-,26.86,3.36,1.12,0.07,-,-,-4.08,94.60%,125.70%,11.10%,4.00%,15.50%,11.20%,-24.40%,21.26M,11.48M,16.10%,23.96%,21.20%,-1.69%,0.84%,0.62,-3.10%,-201.70%,-0.70%,-,-,3.94,139.58,-,-,-,6.67%,82.55%,126.67%,56.32%,-47.69%,-48.29%,0.79,0.26,13.39%,12.08%,16.51%,53.76%,59.03%,-8.26%,124.62%,-62.84%,165.21%,64.15,7.25%,0.00%,-,155.11K,1.53,2.92,7.25%,"234,747",Nov 05/a,-,11/21/1995,-,-
8,LPTH,"LightPath Technologies, Inc.",Technology,Electronic Components,USA,131.04M,56.47,35.56,-,3.55,3.50,24.27,262.08,-,0.00%,0.09,130.40%,107.69%,21.50%,-,20.70%,106.40%,25.00%,25.98M,20.26M,0.20%,0.00%,24.20%,-5.19%,0.75%,0.46,4.90%,6.80%,3.40%,2.90,1.70,0.13,0.16,41.40%,9.20%,6.30%,49.30%,69.61%,110.53%,61.62%,605.88%,562.07%,1.43,0.33,15.54%,9.78%,29.24%,48.09%,65.84%,-15.96%,86.00%,-15.96%,571.64%,64.32,-11.71%,-1.25%,2.00,331.70K,2.47,4.18,-12.81%,"812,737",Sep 10/a,3.88,2/22/1996,-,-
9,METX,Meten EdtechX Education Group Ltd.,Consumer Defensive,Education & Training Services,China,113.74M,-,-,-,1.11,-,3.53,-,-,-,-0.84,-221.30%,-,-,-,-,-,-29.60%,53.29M,15.69M,70.56%,0.00%,7.00%,1.51%,0.23%,0.19,-24.40%,123.20%,-,0.30,0.30,-,-,32.30%,-,-36.50%,0.53%,-41.07%,-74.87%,-85.01%,-81.48%,-81.69%,-,0.27,14.36%,11.75%,-24.63%,-35.16%,-78.07%,-59.27%,5.29%,-92.34%,5.29%,33.14,-3.08%,3.72%,-,187.89K,1.83,1.89,0.53%,"340,763",-,-,10/17/2018,-,-
10,NXTD,"Nxt-ID, Inc.",Industrials,Security & Protection Services,USA,50.62M,-,-,-,3.92,6.36,24.11,-,-,-,-0.03,-50.80%,-,51.00%,-,-,-121.70%,-40.90%,34.25M,29.45M,15.87%,0.00%,12.90%,-19.17%,1.04%,0.02,-3.70%,-12.90%,3.10%,0.60,0.50,1.13,1.45,72.50%,8.50%,-7.00%,187.12%,289.97%,308.28%,164.70%,180.00%,211.04%,0.22,0.22,55.64%,24.07%,104.73%,167.56%,197.57%,-39.35%,330.75%,-39.35%,503.66%,77.00,-6.15%,-2.14%,3.00,18.76M,0.67,1.29,-8.16%,"12,423,101",-,-,8/19/2013,-,-
