"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"IZEA",16.59%,31.06%,-5.37%,-19.87%,330.50%,319.95%,17.08%,12.11%,3.00,2880.47,9.91,1.40,41.40%,28541432
2,"FORD",2.34%,5.42%,28.21%,30.60%,75.00%,76.77%,3.21%,4.54%,,246.89,2.18,2.16,23.43%,538576
3,"QUIK",7.64%,15.36%,3.68%,-1.17%,-22.74%,-43.67%,5.61%,5.46%,2.00,57.28,8.59,4.15,22.78%,491951
4,"EYES",18.44%,98.83%,90.62%,53.21%,-73.30%,-71.87%,6.68%,17.34%,2.00,1599.31,3.34,2.04,22.16%,5345396
5,"BKEP",0.00%,12.50%,24.14%,25.87%,55.17%,59.29%,3.59%,4.14%,3.00,172.43,22.25,2.19,21.67%,3837391
6,"SLGG",-8.00%,21.69%,19.17%,-7.26%,-4.96%,-2.54%,9.44%,8.76%,1.50,435.72,5.33,2.76,20.00%,2323139
7,"RAVE",-14.65%,7.75%,79.58%,0.52%,-51.57%,-47.76%,7.21%,12.06%,,2234.23,1.38,1.02,18.33%,3077704
8,"CLSN",-10.57%,27.22%,-18.18%,-84.96%,-59.87%,-63.16%,9.13%,12.25%,2.30,1382.66,2.68,0.75,18.25%,3700538
9,"SEEL",37.61%,89.99%,134.38%,-0.66%,6.01%,11.94%,17.50%,12.34%,2.00,1486.22,2.95,1.77,18.00%,4377319
10,"VERO",2.61%,-0.69%,-1.59%,-45.33%,-53.54%,-53.94%,4.68%,6.71%,1.60,105.45,11.57,2.54,17.32%,1219705
11,"CLRB",3.65%,100.88%,90.76%,86.07%,5.58%,0.89%,10.09%,13.38%,1.70,1162.33,5.43,2.66,17.18%,6311616
12,"DTEA",58.96%,106.77%,218.36%,175.00%,63.69%,88.36%,17.92%,14.24%,,533.79,3.34,3.22,17.09%,1785062
