"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"JAGX","Jaguar Health, Inc.","Healthcare","Biotechnology","USA",33.99,,,,4.10,7.92,26.15,,,,-1.90,94.10%,53.60%,,40.00%,,89.70%,180.00%,40.22,33.91,12.12%,0.00%,8.70%,,0.27%,0.00,-98.40%,-853.40%,-208.00%,0.40,0.30,1.29,4.52,61.10%,,,-0.40%,92.04%,23.03%,-24.05%,-38.16%,-50.59%,1.54,0.06,16.60%,21.80%,206.71%,282.08%,143.81%,46.78%,478.38%,-0.93%,478.38%,84.89,40.60%,92.27%,1.00,18789.52,33.36,1.07,170.34%,626807569,11/16/2020 8:30:00 AM,,5/13/2015,0.88,-17.76%
2,"ACST","Acasti Pharma Inc.","Healthcare","Biotechnology","Canada",24.22,,,,,2.72,,,,,-0.07,30.30%,34.00%,,,,,,96.89,93.53,8.64%,0.00%,1.66%,,0.91%,0.13,,,,,,,,,,,-2.50%,3.84%,19.45%,-60.82%,-88.53%,-89.80%,,0.03,5.85%,12.91%,55.04%,83.55%,-5.75%,2.94%,151.46%,-86.04%,151.46%,74.83,32.31%,30.00%,2.00,6648.70,81.72,0.43,72.00%,543306111,,,5/6/2011,0.49,13.05%
3,"GHSI","Guardion Health Sciences, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",22.24,,,,11.71,2.17,2.27,,,,-0.12,22.50%,,-40.90%,,40.60%,63.30%,50.00%,88.32,84.89,3.89%,0.00%,5.00%,138.86%,1.14%,0.22,-68.10%,-75.30%,-87.50%,9.80,8.70,0.00,0.00,,,,20.01%,15.29%,14.88%,-41.36%,34.35%,18.42%,,0.03,9.41%,11.55%,51.18%,72.58%,6.18%,16.06%,125.09%,-49.81%,125.09%,77.37,34.08%,6.17%,,4478.69,11.55,0.37,42.35%,51738569,11/12/2020 4:30:00 PM,,4/5/2019,0.36,-4.33%
4,"ADXS","Advaxis, Inc.","Healthcare","Biotechnology","USA",30.49,,,,101.64,0.61,1.28,,,,-0.60,94.40%,,40.40%,,83.60%,90.50%,,109.82,62.76,0.09%,0.00%,17.70%,34.22%,0.96%,0.12,-66.40%,-81.60%,-49.70%,8.40,8.40,0.00,0.00,,,,-5.09%,-18.52%,-18.64%,-48.47%,-47.72%,-63.47%,3.14,0.03,7.63%,8.45%,29.28%,10.87%,-22.44%,-24.75%,53.69%,-72.59%,53.69%,65.22,9.62%,18.10%,2.00,4825.45,7.94,0.41,29.46%,38310823,,,7/28/2005,0.38,-6.04%
5,"INUV","Inuvo, Inc.","Communication Services","Advertising Agencies","USA",39.84,,,,0.80,1.44,4.19,,,,-0.12,41.60%,54.50%,-26.60%,30.00%,4.40%,-269.10%,-33.30%,92.11,87.63,10.50%,0.00%,31.20%,34.50%,3.68%,1.20,-24.00%,-43.80%,-44.90%,2.00,2.00,0.05,0.06,76.90%,-21.80%,-14.90%,-1.80%,12.11%,11.15%,-28.31%,44.76%,36.49%,1.31,0.03,4.97%,6.86%,28.71%,33.20%,23.36%,13.11%,49.71%,-54.14%,449.68%,73.58,25.06%,0.84%,2.30,2674.97,6.83,0.51,26.11%,18278683,11/9/2020 4:30:00 PM,,12/30/1994,0.49,-3.54%
6,"OGEN","Oragenics, Inc.","Healthcare","Biotechnology","USA",29.90,,,,,11.17,2.99,,,,-0.50,57.60%,56.50%,18.70%,,,9.40%,,59.67,56.76,7.40%,-49.74%,17.70%,10.43%,2.59%,0.29,-178.80%,-499.10%,,9.60,9.60,0.00,0.20,,,,3.47%,12.03%,-32.27%,-11.54%,-15.42%,-14.53%,0.62,0.04,6.36%,9.09%,24.02%,13.24%,-15.20%,-16.48%,43.98%,-74.03%,50.78%,64.71,-8.77%,33.11%,2.00,5086.60,11.49,0.54,21.43%,58466528,,,10/21/2003,0.53,-2.36%
7,"TOMZ","TOMI Environmental Solutions, Inc.","Industrials","Pollution & Treatment Controls","USA",68.92,11.05,,,2.97,5.06,11.68,14.98,,0.00%,0.36,29.50%,,-60.80%,,23.10%,460.90%,168.70%,16.74,10.08,0.10%,0.00%,,,0.58%,0.31,49.00%,78.10%,-35.30%,5.00,3.50,0.03,0.03,60.00%,30.10%,29.10%,-1.23%,-8.68%,-29.82%,-58.33%,448.85%,343.26%,-5.72,0.44,7.99%,9.65%,11.60%,-21.09%,-36.35%,-53.91%,27.88%,-72.01%,521.09%,51.17,19.25%,0.00%,,186.14,1.77,4.77,19.25%,328880,11/12/2020 4:30:00 PM,,6/20/2008,4.76,-0.21%
8,"BIOL","BIOLASE, Inc.","Healthcare","Medical Devices","USA",27.65,,,,1.13,1.64,1.47,,,,-0.50,28.40%,79.20%,19.20%,20.00%,-4.50%,14.70%,-24.40%,93.51,84.34,11.08%,0.00%,12.00%,38.26%,1.15%,0.30,-108.10%,,-112.90%,1.70,1.10,0.23,1.17,36.80%,-75.20%,,-3.59%,-4.25%,-1.83%,-45.89%,-40.78%,-49.41%,1.89,0.02,5.55%,6.75%,11.78%,13.34%,-13.73%,-14.16%,27.12%,-65.57%,56.64%,61.39,5.93%,11.59%,1.70,3193.62,10.37,0.33,18.20%,33111030,11/12/2020 4:30:00 PM,,11/12/1992,0.34,2.54%
9,"FENG","Phoenix New Media Limited","Communication Services","Internet Content & Information","China",74.59,0.59,,0.11,0.37,0.22,0.21,,,0.00%,1.84,,,23.90%,5.29%,-1.30%,98.10%,-10.90%,72.79,30.88,24.58%,0.00%,24.50%,-13.34%,0.85%,0.11,18.20%,29.80%,-9.80%,1.60,1.60,0.00,0.00,55.10%,-12.80%,64.40%,6.03%,2.50%,93.70%,61.84%,23.00%,25.51%,2.38,0.07,6.01%,5.28%,20.70%,55.03%,87.36%,9.13%,122.46%,9.13%,151.48%,78.47,6.67%,10.21%,2.00,2413.72,2.93,1.28,17.56%,7074742,11/17/2020 4:30:00 PM,,5/12/2011,1.27,-0.78%
10,"IRIX","IRIDEX Corporation","Healthcare","Medical Devices","USA",23.67,,,,0.66,1.35,1.99,,,,-0.56,38.80%,46.40%,-21.60%,30.00%,0.30%,4.60%,-17.80%,13.89,11.23,2.40%,0.00%,47.70%,-3.06%,1.62%,2.52,-25.00%,-38.60%,-39.70%,2.80,2.00,0.06,0.14,41.40%,-22.10%,-21.50%,-0.59%,-1.18%,-7.18%,-23.64%,-30.00%,-24.66%,1.09,0.10,5.37%,5.48%,10.70%,8.24%,2.54%,-4.85%,22.50%,-53.77%,60.66%,62.40,5.38%,10.71%,,72.54,5.28,1.96,16.67%,382786,11/9/2020 4:30:00 PM,,2/16/1996,,
