"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AMRH","Ameri Holdings, Inc.","Technology","Information Technology Services","USA",11.80,,3.70,118.93%,28443543
2,"ATIF","ATIF Holdings Limited","Financial","Capital Markets","China",34.90,,1.06,51.43%,205280284
3,"OEG","Orbital Energy Group, Inc.","Utilities","Utilities - Diversified","USA",45.60,,2.17,46.62%,14278896
4,"GRNQ","Greenpro Capital Corp.","Industrials","Conglomerates","Hong Kong",78.11,,1.87,46.09%,89874532
5,"RCMT","RCM Technologies, Inc.","Industrials","Engineering & Construction","USA",19.41,,2.43,45.51%,4569988
6,"AWX","Avalon Holdings Corporation","Industrials","Waste Management","USA",8.81,,3.19,38.70%,10117202
7,"BIOL","BIOLASE, Inc.","Healthcare","Medical Devices","USA",30.86,,0.48,26.15%,44451796
8,"IRIX","IRIDEX Corporation","Healthcare","Medical Devices","USA",27.20,,2.41,24.23%,687034
9,"UAMY","United States Antimony Corporation","Basic Materials","Other Industrial Metals & Mining","USA",37.94,,0.55,17.65%,5196164
10,"SSY","SunLink Health Systems, Inc.","Healthcare","Medical Care Facilities","USA",7.70,,1.27,17.59%,979383
11,"IMH","Impac Mortgage Holdings, Inc.","Financial","Mortgage Finance","USA",60.90,,3.29,15.44%,378273
