"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"APPHW","AppHarvest, Inc.","NASD","","",,"",4.980,112730
"AVIR","Atea Pharmaceuticals Inc.","NASD","Health Care","Biotechnology",,"",21.960,840845
"CPHI","China Pharma Holdings, Inc.","AMEX","Health Care","Pharmaceuticals",,"",0.576,468684
"EQOS","Diginex Ltd.","NASD","Financial","Investment Services",,"",5.290,510307
"GBOX","GreenBox POS","NASD","","",,"",9.790,342134
"KLXE","KLX Energy Services Holdings, Inc.","NASD","Energy","Oil Equipment & Services",,"",11.000,99006
"NEXI","Neximmune Inc.","NASD","Health Care","Biotechnology",,"",18.560,18561
"SPHS","Sophiris Bio, Inc.","NASD","Health Care","Biotechnology",,"",0.018,1209
"TAOP","Taoping, Inc.","NASD","Technology","Computer Services",,"",5.140,775594
"TERN","Terns Pharmaceuticals Inc.","NASD","Health Care","Biotechnology",,"",15.920,39177
"VIEW","View, Inc.","NASD","","",,"",8.210,1507478
"ZKIN","ZK International Group Co., Ltd.","NASD","Materials","Steel",,"",4.420,1014069
