,1. open,2. high,3. low,4. close,5. volume,date,delta,init date,ticker
0,0.5120,0.5488,0.5100,0.5100,15133796,2020-08-04,0,2020-08-04,AIHS
1,1.0001,1.1000,1.0000,1.0950,37037,2019-08-02,-253,2020-08-04,AIHS
2,1.1000,1.4500,1.0200,1.2500,270480,2019-08-05,-252,2020-08-04,AIHS
3,1.2200,1.2200,1.1200,1.1400,54363,2019-08-06,-251,2020-08-04,AIHS
4,1.1500,1.1500,1.0200,1.0300,44640,2019-08-07,-250,2020-08-04,AIHS
5,1.0300,1.2000,1.0100,1.1450,85507,2019-08-08,-249,2020-08-04,AIHS
6,1.1600,1.2497,1.0100,1.0200,97208,2019-08-09,-248,2020-08-04,AIHS
7,1.1055,1.1300,1.0100,1.0200,34704,2019-08-12,-247,2020-08-04,AIHS
8,1.0251,1.1000,0.8800,0.9400,35837,2019-08-13,-246,2020-08-04,AIHS
9,0.9500,1.0100,0.9200,0.9350,33953,2019-08-14,-245,2020-08-04,AIHS
10,0.9319,1.1000,0.9100,1.0000,90476,2019-08-15,-244,2020-08-04,AIHS
11,1.0100,1.0300,0.9150,0.9500,21983,2019-08-16,-243,2020-08-04,AIHS
12,1.0500,1.0500,0.9500,0.9700,14491,2019-08-19,-242,2020-08-04,AIHS
13,0.9300,1.0500,0.8800,0.9000,47153,2019-08-20,-241,2020-08-04,AIHS
14,0.9200,1.0900,0.7800,0.8300,72034,2019-08-21,-240,2020-08-04,AIHS
15,0.8600,0.9700,0.8600,0.9700,367,2019-08-22,-239,2020-08-04,AIHS
16,0.8600,0.9897,0.8600,0.8800,12931,2019-08-23,-238,2020-08-04,AIHS
17,0.9600,0.9750,0.7500,0.7899,62135,2019-08-26,-237,2020-08-04,AIHS
18,0.8200,0.8500,0.5301,0.6227,182291,2019-08-27,-236,2020-08-04,AIHS
19,0.7000,0.7000,0.6100,0.6101,22584,2019-08-28,-235,2020-08-04,AIHS
20,0.6100,0.6398,0.5800,0.6200,15767,2019-08-29,-234,2020-08-04,AIHS
21,0.6500,0.6500,0.4222,0.5400,85941,2019-08-30,-233,2020-08-04,AIHS
22,0.5677,0.5677,0.5151,0.5401,23868,2019-09-03,-232,2020-08-04,AIHS
23,0.6200,0.6200,0.4900,0.4900,34554,2019-09-04,-231,2020-08-04,AIHS
24,0.5500,0.5500,0.5000,0.5000,28589,2019-09-05,-230,2020-08-04,AIHS
25,0.5000,0.5000,0.4307,0.4700,54499,2019-09-06,-229,2020-08-04,AIHS
26,0.4980,0.5495,0.3800,0.4150,227232,2019-09-09,-228,2020-08-04,AIHS
27,0.4500,0.5000,0.3900,0.4498,246191,2019-09-10,-227,2020-08-04,AIHS
28,0.4300,0.4489,0.3511,0.4100,158498,2019-09-11,-226,2020-08-04,AIHS
29,0.3980,0.4264,0.3700,0.3901,59679,2019-09-12,-225,2020-08-04,AIHS
30,0.3980,0.3987,0.3601,0.3836,139197,2019-09-13,-224,2020-08-04,AIHS
31,0.3922,0.4724,0.3836,0.4300,382731,2019-09-16,-223,2020-08-04,AIHS
32,0.4400,0.5550,0.4300,0.4900,225689,2019-09-17,-222,2020-08-04,AIHS
33,0.5000,0.5250,0.4500,0.4656,112456,2019-09-18,-221,2020-08-04,AIHS
34,0.4546,0.4880,0.4210,0.4420,50453,2019-09-19,-220,2020-08-04,AIHS
35,0.4388,0.4600,0.3600,0.4100,312256,2019-09-20,-219,2020-08-04,AIHS
36,0.4251,0.4488,0.4001,0.4082,100242,2019-09-23,-218,2020-08-04,AIHS
37,0.4095,0.5400,0.4000,0.4311,74268,2019-09-24,-217,2020-08-04,AIHS
38,0.4400,0.4950,0.4110,0.4400,129422,2019-09-25,-216,2020-08-04,AIHS
39,0.4500,0.4930,0.4000,0.4599,46026,2019-09-26,-215,2020-08-04,AIHS
40,0.4500,0.4598,0.3600,0.3700,126024,2019-09-27,-214,2020-08-04,AIHS
41,0.3880,0.3881,0.3640,0.3709,39667,2019-09-30,-213,2020-08-04,AIHS
42,0.3699,0.3699,0.3510,0.3612,42900,2019-10-01,-212,2020-08-04,AIHS
43,0.3500,0.3600,0.3310,0.3598,120949,2019-10-02,-211,2020-08-04,AIHS
44,0.3931,0.5170,0.3636,0.3636,1012914,2019-10-03,-210,2020-08-04,AIHS
45,0.3650,0.3700,0.3028,0.3350,136501,2019-10-04,-209,2020-08-04,AIHS
46,0.3400,0.3700,0.3000,0.3399,163670,2019-10-07,-208,2020-08-04,AIHS
47,0.3295,0.3499,0.3120,0.3299,26303,2019-10-08,-207,2020-08-04,AIHS
48,0.3199,0.3400,0.3011,0.3312,73912,2019-10-09,-206,2020-08-04,AIHS
49,0.3400,0.3595,0.3200,0.3400,67143,2019-10-10,-205,2020-08-04,AIHS
50,0.3269,0.3700,0.2820,0.3042,363623,2019-10-11,-204,2020-08-04,AIHS
51,0.3146,0.3250,0.2867,0.2901,62701,2019-10-14,-203,2020-08-04,AIHS
52,0.2901,0.3600,0.2850,0.3300,297586,2019-10-15,-202,2020-08-04,AIHS
53,0.3134,0.3523,0.3043,0.3301,78767,2019-10-16,-201,2020-08-04,AIHS
54,0.3301,0.3396,0.3101,0.3395,35183,2019-10-17,-200,2020-08-04,AIHS
55,0.3536,0.4900,0.3250,0.3540,2575907,2019-10-18,-199,2020-08-04,AIHS
56,0.3379,0.3400,0.2730,0.3149,444743,2019-10-21,-198,2020-08-04,AIHS
57,0.3050,0.3050,0.2700,0.2700,244715,2019-10-22,-197,2020-08-04,AIHS
58,0.2835,0.3700,0.2600,0.3050,521798,2019-10-23,-196,2020-08-04,AIHS
59,0.3045,0.3186,0.2800,0.3001,205135,2019-10-24,-195,2020-08-04,AIHS
60,0.2974,0.3436,0.2854,0.3194,322774,2019-10-25,-194,2020-08-04,AIHS
61,0.3300,0.3500,0.3040,0.3065,205926,2019-10-28,-193,2020-08-04,AIHS
62,0.3067,0.3249,0.2850,0.2999,108554,2019-10-29,-192,2020-08-04,AIHS
63,0.2909,0.3200,0.2909,0.3140,74718,2019-10-30,-191,2020-08-04,AIHS
64,0.3100,0.3150,0.2850,0.2920,31918,2019-10-31,-190,2020-08-04,AIHS
65,0.3050,0.3050,0.2920,0.2960,22859,2019-11-01,-189,2020-08-04,AIHS
66,0.3219,0.3219,0.3000,0.3050,71485,2019-11-04,-188,2020-08-04,AIHS
67,0.3100,0.3200,0.2901,0.2980,58241,2019-11-05,-187,2020-08-04,AIHS
68,0.3129,0.3129,0.2750,0.2838,106532,2019-11-06,-186,2020-08-04,AIHS
69,0.2838,0.2840,0.2700,0.2713,40902,2019-11-07,-185,2020-08-04,AIHS
70,0.2840,0.3012,0.2705,0.2903,89684,2019-11-08,-184,2020-08-04,AIHS
71,0.2903,0.3299,0.2903,0.3110,116605,2019-11-11,-183,2020-08-04,AIHS
72,0.3100,0.4200,0.3100,0.4000,678762,2019-11-12,-182,2020-08-04,AIHS
73,0.4100,0.4200,0.3572,0.3931,154720,2019-11-13,-181,2020-08-04,AIHS
74,0.3877,0.4400,0.3600,0.4199,1477102,2019-11-14,-180,2020-08-04,AIHS
75,1.1000,1.6600,0.9410,1.0700,55535581,2019-11-15,-179,2020-08-04,AIHS
76,1.0300,1.1800,0.9000,1.0200,3658867,2019-11-18,-178,2020-08-04,AIHS
77,0.9005,0.9452,0.7520,0.8300,1568933,2019-11-19,-177,2020-08-04,AIHS
78,0.7510,0.7690,0.6800,0.7178,786316,2019-11-20,-176,2020-08-04,AIHS
79,0.6670,0.7376,0.6310,0.7150,1074176,2019-11-21,-175,2020-08-04,AIHS
80,0.6701,0.7500,0.6600,0.6711,828424,2019-11-22,-174,2020-08-04,AIHS
81,0.6700,0.7199,0.6329,0.6597,472892,2019-11-25,-173,2020-08-04,AIHS
82,0.6600,0.6900,0.5775,0.6081,870088,2019-11-26,-172,2020-08-04,AIHS
83,0.6300,0.7150,0.6000,0.6877,1145482,2019-11-27,-171,2020-08-04,AIHS
84,0.7200,0.9500,0.7100,0.7634,2595618,2019-11-29,-170,2020-08-04,AIHS
85,0.7200,0.8600,0.6833,0.7146,770148,2019-12-02,-169,2020-08-04,AIHS
86,0.6900,0.7144,0.5720,0.6600,598227,2019-12-03,-168,2020-08-04,AIHS
87,0.6494,0.6494,0.6000,0.6327,200497,2019-12-04,-167,2020-08-04,AIHS
88,0.6200,0.7900,0.5850,0.7202,963529,2019-12-05,-166,2020-08-04,AIHS
89,0.7167,0.7697,0.7030,0.7254,218797,2019-12-06,-165,2020-08-04,AIHS
90,0.7422,0.7800,0.6500,0.6992,306740,2019-12-09,-164,2020-08-04,AIHS
91,0.6975,0.7400,0.6600,0.6600,156666,2019-12-10,-163,2020-08-04,AIHS
92,0.6709,0.7000,0.6200,0.6600,196027,2019-12-11,-162,2020-08-04,AIHS
93,0.6564,0.7097,0.6402,0.6800,160336,2019-12-12,-161,2020-08-04,AIHS
94,0.7080,0.7399,0.6700,0.6850,113161,2019-12-13,-160,2020-08-04,AIHS
95,0.7100,0.7134,0.6123,0.6427,221478,2019-12-16,-159,2020-08-04,AIHS
96,0.6500,0.7000,0.6110,0.6700,163252,2019-12-17,-158,2020-08-04,AIHS
97,0.6900,0.6900,0.6500,0.6700,204002,2019-12-18,-157,2020-08-04,AIHS
98,0.6700,0.7000,0.6000,0.6050,423136,2019-12-19,-156,2020-08-04,AIHS
99,0.6103,0.6467,0.6100,0.6200,46086,2019-12-20,-155,2020-08-04,AIHS
100,0.6400,0.6500,0.6210,0.6500,135358,2019-12-23,-154,2020-08-04,AIHS
101,0.6400,0.6513,0.6200,0.6201,63243,2019-12-24,-153,2020-08-04,AIHS
102,0.6442,0.6442,0.6100,0.6222,67822,2019-12-26,-152,2020-08-04,AIHS
