,1. open,2. high,3. low,4. close,5. volume,date,delta,init date,ticker
0,0.5120,0.5488,0.5100,0.5100,15133796,2020-08-04,0,2020-08-04,AIHS
1,0.8870,1.0700,0.7258,0.8140,14151197,2020-08-03,-1,2020-08-04,AIHS
2,0.5200,0.5400,0.5100,0.5223,2665388,2020-08-11,5,2020-08-04,AIHS
3,2.5800,2.6000,2.3200,2.3400,6226581,2020-08-04,0,2020-08-04,DBVT
4,3.9800,4.1400,3.9000,4.1000,300857,2020-08-03,-1,2020-08-04,DBVT
5,2.4300,2.4300,2.3000,2.3000,626674,2020-08-11,5,2020-08-04,DBVT
6,3.9000,4.0800,3.5000,3.7400,275739,2020-08-04,0,2020-08-04,GRIN
7,3.2500,6.7200,2.9900,5.4000,782346,2020-08-03,-1,2020-08-04,GRIN
8,3.7900,3.7900,3.6200,3.6200,13038,2020-08-11,5,2020-08-04,GRIN
9,1.7000,1.9396,1.5300,1.9200,1332495,2020-08-04,0,2020-08-04,HBP
10,2.3100,2.6000,2.0000,2.3500,1951544,2020-08-03,-1,2020-08-04,HBP
11,2.3600,2.4900,2.3500,2.4200,181253,2020-08-11,5,2020-08-04,HBP
12,38.8600,40.3587,29.8700,32.7300,8800643,2020-08-05,0,2020-08-05,VAPO
13,52.8700,54.4200,51.9500,52.7500,797021,2020-08-04,-1,2020-08-05,VAPO
14,29.3800,30.2000,28.7400,28.8600,612641,2020-08-12,5,2020-08-05,VAPO
15,1.7800,2.0800,1.6800,1.8900,22518911,2020-08-06,0,2020-08-06,MVIS
16,3.0000,3.0400,2.5100,2.5300,40088601,2020-08-05,-1,2020-08-06,MVIS
17,1.3225,1.5600,1.2700,1.5200,9050855,2020-08-13,5,2020-08-06,MVIS
18,14.5150,14.5150,11.6601,13.0900,12552781,2020-08-06,0,2020-08-06,OSUR
19,19.5000,19.7500,19.2600,19.5800,1774830,2020-08-05,-1,2020-08-06,OSUR
20,13.7500,13.8000,13.1800,13.4400,1029946,2020-08-13,5,2020-08-06,OSUR
21,0.0060,0.0125,0.0060,0.0125,29718,2020-08-07,0,2020-08-07,SNNAQ
22,0.0130,0.0130,0.0060,0.0092,56035,2020-08-06,-1,2020-08-07,SNNAQ
23,0.0106,0.0120,0.0106,0.0120,25009,2020-08-14,5,2020-08-07,SNNAQ
24,0.0060,0.0124,0.0060,0.0124,17736,2020-08-10,0,2020-08-10,SNNAQ
25,0.0060,0.0125,0.0060,0.0125,29718,2020-08-07,-1,2020-08-10,SNNAQ
26,0.0120,0.0120,0.0080,0.0120,23900,2020-08-17,5,2020-08-10,SNNAQ
27,0.0080,0.0102,0.0080,0.0102,2488,2020-08-11,0,2020-08-11,SNNAQ
28,0.0060,0.0124,0.0060,0.0124,17736,2020-08-10,-1,2020-08-11,SNNAQ
29,0.0084,0.0120,0.0084,0.0120,4821,2020-08-18,5,2020-08-11,SNNAQ
30,0.0084,0.0120,0.0084,0.0120,4821,2020-08-18,0,2020-08-18,SNNAQ
31,0.0120,0.0120,0.0080,0.0120,23900,2020-08-17,-1,2020-08-18,SNNAQ
32,0.0080,0.0120,0.0080,0.0120,85730,2020-08-25,5,2020-08-18,SNNAQ
33,0.0084,0.0098,0.0084,0.0098,10829,2020-08-21,0,2020-08-21,SNNAQ
34,0.0117,0.0117,0.0117,0.0117,412,2020-08-20,-1,2020-08-21,SNNAQ
35,0.0120,0.0120,0.0100,0.0100,51009,2020-08-28,5,2020-08-21,SNNAQ
36,0.0050,0.0117,0.0021,0.0100,7268,2020-08-24,0,2020-08-24,SNNAQ
37,0.0084,0.0098,0.0084,0.0098,10829,2020-08-21,-1,2020-08-24,SNNAQ
38,0.0096,0.0096,0.0080,0.0080,10151,2020-08-31,5,2020-08-24,SNNAQ
39,0.0080,0.0095,0.0080,0.0095,17691,2020-09-08,0,2020-09-08,SNNAQ
40,0.0110,0.0111,0.0110,0.0110,43153,2020-09-04,-1,2020-09-08,SNNAQ
41,0.0100,0.0110,0.0072,0.0110,117339,2020-09-15,5,2020-09-08,SNNAQ
