,1. open,2. high,3. low,4. close,5. volume,date,delta,ticker
0,0.5120,0.5488,0.5100,0.5100,15133796,2020-08-04,0,AIHS
1,0.8870,1.0700,0.7258,0.8140,14151197,2020-08-03,-1,AIHS
2,0.5200,0.5280,0.5010,0.5230,3895230,2020-08-05,15,AIHS
3,2.5800,2.6000,2.3200,2.3400,6226581,2020-08-04,0,DBVT
4,3.9800,4.1400,3.9000,4.1000,300857,2020-08-03,-1,DBVT
5,2.4900,2.5000,2.4500,2.4800,2265975,2020-08-05,15,DBVT
6,3.9000,4.0800,3.5000,3.7400,275739,2020-08-04,0,GRIN
7,3.2500,6.7200,2.9900,5.4000,782346,2020-08-03,-1,GRIN
8,3.5600,3.6600,3.5000,3.5800,83103,2020-08-05,15,GRIN
9,1.7000,1.9396,1.5300,1.9200,1332495,2020-08-04,0,HBP
10,2.3100,2.6000,2.0000,2.3500,1951544,2020-08-03,-1,HBP
11,1.8500,1.9000,1.7000,1.8700,322616,2020-08-05,15,HBP
12,38.8600,40.3587,29.8700,32.7300,8800643,2020-08-05,0,VAPO
13,52.8700,54.4200,51.9500,52.7500,797021,2020-08-04,-1,VAPO
14,33.1000,34.4700,31.3000,32.5600,2253925,2020-08-06,15,VAPO
15,1.7800,2.0800,1.6800,1.8900,22518911,2020-08-06,0,MVIS
16,3.0000,3.0400,2.5100,2.5300,40088601,2020-08-05,-1,MVIS
17,1.8400,1.8400,1.7000,1.7100,10078866,2020-08-07,15,MVIS
18,14.5150,14.5150,11.6601,13.0900,12552781,2020-08-06,0,OSUR
19,19.5000,19.7500,19.2600,19.5800,1774830,2020-08-05,-1,OSUR
20,13.7650,14.8600,13.3050,14.0500,4136671,2020-08-07,15,OSUR
21,0.0060,0.0125,0.0060,0.0125,29718,2020-08-07,0,SNNAQ
22,0.0130,0.0130,0.0060,0.0092,56035,2020-08-06,-1,SNNAQ
23,0.0060,0.0124,0.0060,0.0124,17736,2020-08-10,15,SNNAQ
24,0.0060,0.0124,0.0060,0.0124,17736,2020-08-10,0,SNNAQ
25,0.0060,0.0125,0.0060,0.0125,29718,2020-08-07,-1,SNNAQ
26,0.0080,0.0102,0.0080,0.0102,2488,2020-08-11,15,SNNAQ
27,0.0080,0.0102,0.0080,0.0102,2488,2020-08-11,0,SNNAQ
28,0.0060,0.0124,0.0060,0.0124,17736,2020-08-10,-1,SNNAQ
29,0.0120,0.0120,0.0084,0.0084,3890,2020-08-12,15,SNNAQ
30,0.0084,0.0120,0.0084,0.0120,4821,2020-08-18,0,SNNAQ
31,0.0120,0.0120,0.0080,0.0120,23900,2020-08-17,-1,SNNAQ
32,0.0096,0.0119,0.0080,0.0104,56897,2020-08-19,15,SNNAQ
33,0.0084,0.0098,0.0084,0.0098,10829,2020-08-21,0,SNNAQ
34,0.0117,0.0117,0.0117,0.0117,412,2020-08-20,-1,SNNAQ
35,0.0050,0.0117,0.0021,0.0100,7268,2020-08-24,15,SNNAQ
36,0.0050,0.0117,0.0021,0.0100,7268,2020-08-24,0,SNNAQ
37,0.0084,0.0098,0.0084,0.0098,10829,2020-08-21,-1,SNNAQ
38,0.0080,0.0120,0.0080,0.0120,85730,2020-08-25,15,SNNAQ
39,0.0080,0.0095,0.0080,0.0095,17691,2020-09-08,0,SNNAQ
40,0.0110,0.0111,0.0110,0.0110,43153,2020-09-04,-1,SNNAQ
41,0.0110,0.0110,0.0080,0.0083,11425,2020-09-09,15,SNNAQ
42,0.0072,0.0073,0.0072,0.0072,7130,2020-09-16,0,SNNAQ
43,0.0100,0.0110,0.0072,0.0110,117339,2020-09-15,-1,SNNAQ
44,0.0072,0.0075,0.0072,0.0075,12737,2020-09-17,15,SNNAQ
45,0.0050,0.0084,0.0050,0.0084,108666,2020-09-21,0,SNNAQ
46,0.0086,0.0086,0.0070,0.0070,121381,2020-09-18,-1,SNNAQ
47,0.0078,0.0078,0.0078,0.0078,24815,2020-09-22,15,SNNAQ
48,0.0063,0.0085,0.0061,0.0061,9584,2020-09-28,0,SNNAQ
49,0.0095,0.0095,0.0095,0.0095,20000,2020-09-25,-1,SNNAQ
50,0.0061,0.0080,0.0061,0.0075,27985,2020-09-29,15,SNNAQ
51,0.0051,0.0061,0.0051,0.0061,13884,2020-10-06,0,SNNAQ
52,0.0061,0.0079,0.0061,0.0070,102631,2020-10-05,-1,SNNAQ
53,0.0051,0.0063,0.0051,0.0063,5319,2020-10-07,15,SNNAQ
54,0.0056,0.0079,0.0056,0.0079,47122,2020-11-11,0,SNNAQ
55,0.0070,0.0080,0.0050,0.0080,74937,2020-11-10,-1,SNNAQ
56,0.0080,0.0080,0.0050,0.0050,18164,2020-11-12,15,SNNAQ
57,8.9000,11.6000,8.5000,10.7300,47435807,2020-08-10,0,KODK
58,15.7900,16.7500,14.5700,14.8800,16139254,2020-08-07,-1,KODK
59,11.2600,11.3500,9.9500,10.0100,19420168,2020-08-11,15,KODK
60,105.4033,125.0000,102.2200,104.4100,4057496,2020-08-10,0,RETA
61,152.2500,157.3800,149.0100,156.2000,226220,2020-08-07,-1,RETA
62,107.8800,112.3600,103.2501,103.6000,1335630,2020-08-11,15,RETA
63,1.5600,1.7400,1.3800,1.7200,18422809,2020-08-10,0,TOPS
64,0.1011,0.1016,0.0899,0.0900,180150842,2020-08-07,-1,TOPS
65,1.7400,1.7400,1.5400,1.5800,5203545,2020-08-11,15,TOPS
66,2.6300,4.0200,2.2700,3.1000,6183676,2020-08-10,0,WORX
67,5.7550,5.7550,5.7550,5.7550,0,2020-08-07,-1,WORX
68,2.7500,2.8800,2.4100,2.4100,913160,2020-08-11,15,WORX
69,6.5000,6.9900,6.1600,6.6600,3614704,2020-08-11,0,FENC
70,9.4600,10.6700,9.3300,10.1700,2629272,2020-08-10,-1,FENC
71,6.7200,6.9800,5.9300,6.1700,1345080,2020-08-12,15,FENC
72,12.0000,12.0000,8.8800,8.9000,2026664,2020-08-11,0,FULC
73,17.1270,18.3750,17.0500,17.1200,61250,2020-08-10,-1,FULC
74,8.8400,8.9000,7.6100,7.7700,1284325,2020-08-12,15,FULC
75,12.6000,12.7500,10.4601,11.3300,3719782,2020-08-11,0,MESO
76,17.2000,18.6800,16.7200,17.4200,1713859,2020-08-10,-1,MESO
77,11.6700,11.8499,11.0000,11.8100,1133094,2020-08-12,15,MESO
78,11.9100,13.7399,11.0900,12.0300,4552018,2020-10-02,0,MESO
79,18.5850,18.5850,18.5850,18.5850,72661,2020-10-01,-1,MESO
80,12.7100,13.5000,12.5200,12.8000,1590171,2020-10-05,15,MESO
81,22.0100,22.8673,18.4100,18.8400,6028979,2020-08-12,0,OSPN
82,30.0200,31.6400,29.9000,31.2000,496058,2020-08-11,-1,OSPN
83,18.6500,19.4500,18.0600,18.9000,1957119,2020-08-13,15,OSPN
84,4.0800,4.5000,4.0000,4.2000,689700,2020-08-14,0,FLUX
85,8.0000,8.0000,7.9000,7.9000,748,2020-08-13,-1,FLUX
86,4.4000,5.2000,4.3500,5.0400,996871,2020-08-17,15,FLUX
87,1.4200,1.6000,1.0100,1.0600,14188569,2020-08-14,0,HX
88,0.7694,2.4800,0.7694,2.4800,75110923,2020-08-13,-1,HX
89,0.9800,1.0400,0.9130,0.9600,1902128,2020-08-17,15,HX
90,1.9000,2.3100,1.8100,1.9100,447421,2020-08-24,0,HX
91,0.8400,0.8841,0.8100,0.8600,542665,2020-08-21,-1,HX
92,1.9500,2.1999,1.9200,1.9500,230939,2020-08-25,15,HX
93,0.7990,0.8300,0.7300,0.7999,9249478,2020-08-14,0,LMFA
94,1.4300,1.4999,1.0100,1.0700,2082687,2020-08-13,-1,LMFA
95,0.8000,0.8000,0.7610,0.7800,1645481,2020-08-17,15,LMFA
96,5.1600,5.2500,4.0500,4.1500,23236728,2020-08-17,0,UBX
97,11.8000,12.4600,11.5300,12.4300,687356,2020-08-14,-1,UBX
98,3.8800,3.9700,3.1500,3.2600,11795299,2020-08-18,15,UBX
99,8.7600,9.5800,8.3800,9.0600,2215335,2020-08-18,0,PSTX
100,13.1100,13.6100,12.6200,13.0000,388707,2020-08-17,-1,PSTX
101,9.7100,9.8494,8.7500,8.8600,923396,2020-08-19,15,PSTX
102,0.5640,0.5700,0.5102,0.5461,48896469,2020-08-18,0,SHIP
103,1.2300,1.2500,1.1200,1.1700,3193712,2020-08-17,-1,SHIP
104,0.5344,0.5368,0.5000,0.5004,11842114,2020-08-19,15,SHIP
105,0.0111,0.0200,0.0100,0.0149,1156978,2020-08-18,0,SPHS
106,0.0076,0.0300,0.0076,0.0090,49607,2020-08-17,-1,SPHS
107,0.0122,0.0149,0.0102,0.0146,202259,2020-08-19,15,SPHS
108,0.0106,0.0150,0.0106,0.0150,283494,2020-08-20,0,SPHS
109,0.0122,0.0149,0.0102,0.0146,202259,2020-08-19,-1,SPHS
110,0.0150,0.0180,0.0115,0.0151,228112,2020-08-21,15,SPHS
111,0.0120,0.0350,0.0101,0.0176,761132,2020-09-25,0,SPHS
112,0.0123,0.0500,0.0123,0.0449,1230490,2020-09-24,-1,SPHS
113,0.0186,0.0186,0.0153,0.0160,196827,2020-09-28,15,SPHS
114,0.0090,0.0138,0.0090,0.0110,139397,2020-10-22,0,SPHS
115,0.0167,0.0167,0.0101,0.0143,274885,2020-10-21,-1,SPHS
116,0.0167,0.0167,0.0101,0.0101,50714,2020-10-23,15,SPHS
117,85.8100,85.8500,74.5600,76.7150,34099091,2020-08-19,0,BMRN
118,119.1400,119.9000,117.3100,118.5400,723862,2020-08-18,-1,BMRN
119,76.2700,76.7300,74.6000,74.8500,7297174,2020-08-20,15,BMRN
120,137.7500,145.1500,136.3500,141.0000,1308002,2020-08-19,0,GLPG
121,190.0100,190.3200,186.6800,188.0800,102921,2020-08-18,-1,GLPG
122,142.3900,144.6500,141.5907,143.5200,225889,2020-08-20,15,GLPG
123,1.3200,1.4300,1.1800,1.2600,3030741,2020-08-20,0,SYPR
124,0.9787,1.9500,0.9787,1.8500,11870908,2020-08-19,-1,SYPR
125,1.1700,1.2500,1.1400,1.1700,573436,2020-08-21,15,SYPR
126,1.0100,3.8400,1.0100,3.1500,1164316,2020-08-24,0,FTSI
127,5.1800,5.4200,4.8500,4.9600,99751,2020-08-21,-1,FTSI
128,3.1700,5.2000,3.1700,4.3600,3024943,2020-08-25,15,FTSI
129,0.6600,1.0000,0.6400,0.8960,60582612,2020-08-24,0,NAK
130,1.5200,1.5460,1.4450,1.4500,8261039,2020-08-21,-1,NAK
131,0.7820,0.8500,0.5811,0.6100,54522404,2020-08-25,15,NAK
132,24.5100,24.9400,18.0800,18.3300,3378618,2020-08-24,0,ODT
133,34.5600,34.6200,33.0300,33.5400,226927,2020-08-21,-1,ODT
134,18.6900,19.1700,17.1800,17.5000,1297466,2020-08-25,15,ODT
135,0.2752,0.3980,0.2600,0.3429,177712519,2020-08-24,0,ONTX
136,1.0200,1.0300,0.9800,1.0100,4019999,2020-08-21,-1,ONTX
137,0.3111,0.3124,0.2805,0.2911,39265122,2020-08-25,15,ONTX
138,0.2000,0.2210,0.1900,0.1998,38395416,2020-08-25,0,MYT
139,0.3000,0.3000,0.2704,0.2829,5203861,2020-08-24,-1,MYT
140,0.2100,0.2350,0.2000,0.2001,23779489,2020-08-26,15,MYT
141,1.0200,1.0300,0.9500,0.9700,6342953,2020-08-26,0,CWBR
142,1.4500,1.4950,1.4000,1.4400,227198,2020-08-25,-1,CWBR
143,0.9506,0.9900,0.8500,0.8672,2835499,2020-08-27,15,CWBR
144,0.8321,0.9200,0.7813,0.8150,23885032,2020-08-26,0,OTLK
145,1.2800,1.3000,1.2200,1.2800,1251664,2020-08-25,-1,OTLK
146,0.7500,0.7600,0.6502,0.7101,9761071,2020-08-27,15,OTLK
147,0.5500,0.6800,0.5400,0.6500,741228,2020-08-27,0,KXIN
148,0.8900,0.9100,0.8800,0.8968,207215,2020-08-26,-1,KXIN
149,0.6801,0.6900,0.5400,0.5900,271121,2020-08-28,15,KXIN
150,1.3300,1.4900,1.1600,1.3300,6285603,2020-10-15,0,KXIN
151,0.5356,2.1900,0.5355,1.9800,59818740,2020-10-14,-1,KXIN
152,1.3700,4.5000,1.2800,2.0700,55134699,2020-10-16,15,KXIN
153,6.0000,6.9800,4.3000,4.7500,17911722,2020-10-20,0,KXIN
154,3.3000,13.4000,2.7500,8.1500,234566217,2020-10-19,-1,KXIN
155,4.2600,5.9900,3.4500,4.6100,11361419,2020-10-21,15,KXIN
156,19.0500,24.4280,14.8200,19.0000,3572958,2020-08-27,0,MAXN
157,32.4000,37.6200,32.4000,37.6200,3540,2020-08-26,-1,MAXN
158,19.7400,21.3500,18.7600,20.0500,1230532,2020-08-28,15,MAXN
159,1.3000,1.5200,1.1600,1.5200,7196676,2020-08-28,0,PED
160,1.5000,2.5000,1.4500,2.1100,100142960,2020-08-27,-1,PED
161,1.4000,1.4200,1.2400,1.3200,792764,2020-08-31,15,PED
162,0.2776,0.2826,0.2306,0.2447,55595782,2020-08-31,0,ACST
163,0.7150,0.7262,0.6450,0.7090,2684973,2020-08-28,-1,ACST
164,0.2176,0.2349,0.2115,0.2170,15899506,2020-09-02,15,ACST
165,8.0000,15.0000,8.0000,9.7700,151700,2020-08-31,0,GB
166,9.5000,9.5000,8.3300,8.5500,162050,2020-09-01,15,GB
167,2.9400,3.0000,2.6300,2.6500,81420239,2020-09-03,0,AKBA
168,10.0100,10.0900,9.5800,10.0000,1991498,2020-09-02,-1,AKBA
169,2.8300,2.8500,2.4600,2.7200,33632753,2020-09-04,15,AKBA
170,11.4900,12.3300,10.8100,11.2200,12030571,2020-09-03,0,ZUO
171,16.8800,17.7900,15.2500,16.1700,8896952,2020-09-02,-1,ZUO
