,1. open,2. high,3. low,4. close,5. volume,date,delta,init date,ticker
0,2.5400,2.5800,2.0200,2.3300,4686810,2020-03-17,0,2020-03-17,DBVT
1,8.4200,8.4300,8.1700,8.2400,173896,2019-03-15,-253,2020-03-17,DBVT
2,8.2600,8.2650,8.0500,8.1800,139023,2019-03-18,-252,2020-03-17,DBVT
3,8.0500,8.5700,8.0300,8.4700,354965,2019-03-19,-251,2020-03-17,DBVT
4,8.4000,8.4100,8.1100,8.1700,140286,2019-03-20,-250,2020-03-17,DBVT
5,8.0300,8.2400,7.9100,8.1700,232273,2019-03-21,-249,2020-03-17,DBVT
6,7.7800,7.8800,7.6300,7.6400,273603,2019-03-22,-248,2020-03-17,DBVT
7,7.4300,7.5800,7.1600,7.4500,216542,2019-03-25,-247,2020-03-17,DBVT
8,7.3900,7.7100,7.3900,7.6400,196636,2019-03-26,-246,2020-03-17,DBVT
9,7.6300,7.6300,7.2700,7.4700,210949,2019-03-27,-245,2020-03-17,DBVT
10,7.4300,7.5400,7.3400,7.4400,124088,2019-03-28,-244,2020-03-17,DBVT
11,7.5200,7.7300,7.4500,7.7100,210043,2019-03-29,-243,2020-03-17,DBVT
12,7.6600,7.7300,7.4400,7.5800,111344,2019-04-01,-242,2020-03-17,DBVT
13,7.5900,7.7800,7.5500,7.7000,34115,2019-04-02,-241,2020-03-17,DBVT
14,7.7200,7.9800,7.6990,7.8400,115244,2019-04-03,-240,2020-03-17,DBVT
15,7.9400,9.1300,7.9200,8.7600,1944351,2019-04-04,-239,2020-03-17,DBVT
16,8.6100,8.8500,8.5700,8.8100,310149,2019-04-05,-238,2020-03-17,DBVT
17,9.2400,9.4500,9.0700,9.2300,273529,2019-04-08,-237,2020-03-17,DBVT
18,9.1200,9.1200,8.9500,9.0100,217998,2019-04-09,-236,2020-03-17,DBVT
19,8.9500,9.1300,8.9497,9.0900,137662,2019-04-10,-235,2020-03-17,DBVT
20,9.1100,9.1200,8.9800,9.0400,124374,2019-04-11,-234,2020-03-17,DBVT
21,9.1500,9.3000,9.0500,9.2500,268191,2019-04-12,-233,2020-03-17,DBVT
22,9.3000,9.3300,8.9900,9.0400,188181,2019-04-15,-232,2020-03-17,DBVT
23,9.1700,9.2400,8.9700,9.0400,935400,2019-04-16,-231,2020-03-17,DBVT
24,9.0900,9.0900,8.8800,8.9600,156460,2019-04-17,-230,2020-03-17,DBVT
25,8.9100,8.9200,8.6800,8.7600,87465,2019-04-18,-229,2020-03-17,DBVT
26,8.7600,8.8715,8.6400,8.6800,35825,2019-04-22,-228,2020-03-17,DBVT
27,9.0000,9.2900,8.9600,9.1000,209745,2019-04-23,-227,2020-03-17,DBVT
28,9.6000,9.6600,9.2900,9.3500,313546,2019-04-24,-226,2020-03-17,DBVT
29,9.5000,9.7100,9.4500,9.5500,311828,2019-04-25,-225,2020-03-17,DBVT
30,10.0200,10.1200,9.6900,10.0000,278381,2019-04-26,-224,2020-03-17,DBVT
31,10.3400,10.3700,9.9300,9.9500,428701,2019-04-29,-223,2020-03-17,DBVT
32,9.8600,9.8800,9.6500,9.7500,151863,2019-04-30,-222,2020-03-17,DBVT
33,9.8500,9.8500,9.5000,9.5600,71317,2019-05-01,-221,2020-03-17,DBVT
34,9.6700,9.7900,9.5400,9.7000,83013,2019-05-02,-220,2020-03-17,DBVT
35,9.8300,9.9000,9.6900,9.7900,137058,2019-05-03,-219,2020-03-17,DBVT
36,9.6000,9.7850,9.6000,9.7200,136341,2019-05-06,-218,2020-03-17,DBVT
37,9.8400,9.8400,9.4500,9.5100,105017,2019-05-07,-217,2020-03-17,DBVT
38,9.6000,9.7000,9.3300,9.3900,177188,2019-05-08,-216,2020-03-17,DBVT
39,9.3200,9.3800,9.1000,9.2100,193072,2019-05-09,-215,2020-03-17,DBVT
40,9.2100,9.2400,8.9300,8.9900,139978,2019-05-10,-214,2020-03-17,DBVT
41,8.8400,8.8600,8.5300,8.5300,179764,2019-05-13,-213,2020-03-17,DBVT
42,9.1300,9.2600,8.9700,8.9900,193340,2019-05-14,-212,2020-03-17,DBVT
43,9.1100,9.3900,9.0450,9.3100,146919,2019-05-15,-211,2020-03-17,DBVT
44,9.5900,9.6200,9.3300,9.4100,102996,2019-05-16,-210,2020-03-17,DBVT
45,9.3400,9.4200,9.1000,9.1900,157207,2019-05-17,-209,2020-03-17,DBVT
46,9.0000,9.1000,8.9400,8.9700,71130,2019-05-20,-208,2020-03-17,DBVT
47,9.1800,9.3700,9.1000,9.3500,191843,2019-05-21,-207,2020-03-17,DBVT
48,9.5100,9.5600,9.2800,9.3300,150409,2019-05-22,-206,2020-03-17,DBVT
49,9.1900,9.2100,8.9500,9.0000,83367,2019-05-23,-205,2020-03-17,DBVT
50,9.2000,9.2325,8.9800,9.1200,40866,2019-05-24,-204,2020-03-17,DBVT
51,9.6000,9.6600,9.4000,9.4000,234372,2019-05-28,-203,2020-03-17,DBVT
52,9.4000,9.4430,9.1600,9.2000,178836,2019-05-29,-202,2020-03-17,DBVT
53,9.3000,9.3100,9.1000,9.1600,195212,2019-05-30,-201,2020-03-17,DBVT
54,9.1700,9.3400,8.8800,9.0200,284291,2019-05-31,-200,2020-03-17,DBVT
55,9.2500,9.4000,8.9805,9.1000,261494,2019-06-03,-199,2020-03-17,DBVT
56,9.5900,9.5900,9.1000,9.1500,251479,2019-06-04,-198,2020-03-17,DBVT
57,9.4100,9.4600,9.1200,9.2500,367019,2019-06-05,-197,2020-03-17,DBVT
58,9.4900,9.5000,9.1000,9.1500,330115,2019-06-06,-196,2020-03-17,DBVT
59,9.2700,9.2800,9.1100,9.1300,516220,2019-06-07,-195,2020-03-17,DBVT
60,9.1800,9.4400,8.9800,8.9800,239657,2019-06-10,-194,2020-03-17,DBVT
