"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ACMR","ACM Research, Inc.","NASD","Technology","Semiconductors",17.8,"sml",79.300,830036
"ADPT","Adaptive Biotechnologies Corp.","NASD","Health Care","Biotechnology",5.6,"mid",37.890,436511
"AGTC","Applied Genetic Technologies Corp.","NASD","Health Care","Biotechnology",17.8,"sml",3.920,731402
"AHPI","Allied Healthcare Products, Inc.","NASD","Health Care","Medical Equipment",,"",3.810,191791
"AIHS","Senmiao Technology Ltd.","NASD","Financial","Specialty Finance",,"",0.835,776212
"AMST","Amesite Operating Co","NASD","Technology","Software",,"",2.390,522445
"AMWL","American Well Corporation","NYSE","Health Care","Health Care Providers",0.1,"mid",12.210,1477771
"APPF","AppFolio, Inc.","NASD","Technology","Software",8.6,"mid",133.650,93574
"APPN","Appian Corp","NASD","Technology","Software",55.5,"mid",132.790,359223
"APRE","Aprea Therapeutics Inc.","NASD","Health Care","Biotechnology",14.9,"sml",5.180,1140384
"ARCT","Arcturus Therapeutics Ltd.","NASD","Health Care","Pharmaceuticals",5.2,"sml",32.020,414157
"ARRY","Array Technologies Inc.","NASD","Technology","Renewable Energy Equipment",,"",15.850,3362385
"ATHX","Athersys, Inc.","NASD","Health Care","Pharmaceuticals",11.5,"sml",1.450,1142186
"BIGC","BigCommerce Holdings Inc.","NASD","Technology","Software",64.5,"mid",69.030,1465622
"BIMI","NF Energy Saving Corp. of America","NASD","Industrial","Industrial Machinery",,"",1.170,203352
"BLDE","Blade Air Mobility Inc.","NASD","Industrial","Aerospace",13.7,"sml",9.040,695307
"BLDP","Ballard Power Systems, Inc.","NASD","Technology","Renewable Energy Equipment",2.5,"mid",16.680,3124926
"BLI","Berkeley Lights Inc.","NASD","Health Care","Biotechnology",2.1,"mid",46.290,714923
"BRQS","Borqs Technologies Inc.","NASD","Technology","Software",,"",0.868,17826093
"BTAI","BioXcel Therapeutics, Inc.","NASD","Health Care","Biotechnology",2.3,"sml",26.750,558586
"BXRX","Baudax Bio Inc.","NASD","Health Care","Pharmaceuticals",,"",0.677,1300880
"BYND","Beyond Meat Inc.","NASD","Consumer Staples","Food Products",46.1,"mid",139.230,2260522
"CASI","CASI Pharmaceuticals, Inc.","NASD","Health Care","Pharmaceuticals",2.7,"sml",1.370,788257
