,1. open,2. high,3. low,4. close,5. volume,date,delta,init date,ticker
0,1.8300,2.3800,1.6500,2.1600,1193709,2021-02-26,0,2021-02-26,BGI
1,0.8528,0.9300,0.8528,0.9200,1813,2020-02-26,-253,2021-02-26,BGI
2,0.8415,0.9600,0.8040,0.9600,5852,2020-02-27,-252,2021-02-26,BGI
3,0.9000,0.9000,0.8500,0.8500,1463,2020-02-28,-251,2021-02-26,BGI
4,0.8744,0.9024,0.8700,0.8999,9479,2020-03-02,-250,2021-02-26,BGI
5,0.8800,0.8800,0.7600,0.8400,41691,2020-03-03,-249,2021-02-26,BGI
6,0.8499,0.8499,0.7600,0.7600,10438,2020-03-04,-248,2021-02-26,BGI
7,0.7200,0.8019,0.7000,0.7501,31140,2020-03-05,-247,2021-02-26,BGI
8,0.7000,0.7501,0.7000,0.7388,4337,2020-03-06,-246,2021-02-26,BGI
9,0.7000,0.7000,0.5000,0.5625,56149,2020-03-09,-245,2021-02-26,BGI
10,0.5907,0.5907,0.5025,0.5500,5738,2020-03-10,-244,2021-02-26,BGI
11,0.5591,0.5591,0.5105,0.5105,3227,2020-03-11,-243,2021-02-26,BGI
12,0.4500,0.5091,0.4091,0.4500,5238,2020-03-12,-242,2021-02-26,BGI
13,0.4200,0.8500,0.4200,0.6000,88696,2020-03-13,-241,2021-02-26,BGI
14,0.4300,0.5025,0.4300,0.4771,6757,2020-03-16,-240,2021-02-26,BGI
15,0.8400,0.8400,0.6100,0.7500,25069,2020-03-17,-239,2021-02-26,BGI
16,0.8000,0.8360,0.4700,0.5200,42680,2020-03-18,-238,2021-02-26,BGI
17,0.4904,0.5600,0.4376,0.5600,26693,2020-03-19,-237,2021-02-26,BGI
18,0.5300,0.5999,0.4250,0.4600,13754,2020-03-20,-236,2021-02-26,BGI
19,0.5100,0.5130,0.3208,0.4346,66275,2020-03-23,-235,2021-02-26,BGI
20,0.3899,0.4600,0.3800,0.3800,14313,2020-03-24,-234,2021-02-26,BGI
21,0.4495,0.4599,0.4000,0.4480,6978,2020-03-25,-233,2021-02-26,BGI
22,0.4400,0.4500,0.3901,0.4107,6851,2020-03-26,-232,2021-02-26,BGI
23,0.3700,0.4500,0.3700,0.4310,5990,2020-03-27,-231,2021-02-26,BGI
24,0.4956,0.5100,0.4525,0.5100,7431,2020-03-30,-230,2021-02-26,BGI
25,0.5100,0.5100,0.4800,0.4900,10075,2020-03-31,-229,2021-02-26,BGI
26,0.4412,0.4412,0.4412,0.4412,270,2020-04-01,-228,2021-02-26,BGI
27,0.4490,0.4600,0.4490,0.4600,668,2020-04-02,-227,2021-02-26,BGI
28,0.4700,0.5200,0.4000,0.4200,49677,2020-04-03,-226,2021-02-26,BGI
29,0.5672,0.6000,0.4665,0.4665,40878,2020-04-06,-225,2021-02-26,BGI
30,0.3700,0.5382,0.3700,0.5147,24424,2020-04-07,-224,2021-02-26,BGI
31,0.5500,0.5700,0.5404,0.5700,17895,2020-04-08,-223,2021-02-26,BGI
32,0.5800,0.5800,0.4587,0.5701,14553,2020-04-09,-222,2021-02-26,BGI
33,0.5800,0.5951,0.5359,0.5650,9290,2020-04-13,-221,2021-02-26,BGI
34,0.4861,0.5361,0.4861,0.5361,2239,2020-04-14,-220,2021-02-26,BGI
35,0.4550,0.7300,0.4202,0.6200,72403,2020-04-15,-219,2021-02-26,BGI
36,0.7000,0.7000,0.4760,0.5200,49632,2020-04-16,-218,2021-02-26,BGI
37,0.5700,0.7512,0.4751,0.5900,27798,2020-04-17,-217,2021-02-26,BGI
38,0.5201,0.6100,0.5000,0.5499,38366,2020-04-20,-216,2021-02-26,BGI
39,0.5552,0.5552,0.5000,0.5250,16049,2020-04-21,-215,2021-02-26,BGI
40,0.5000,0.5233,0.4000,0.4468,97300,2020-04-22,-214,2021-02-26,BGI
41,0.4691,0.4757,0.4269,0.4617,12101,2020-04-23,-213,2021-02-26,BGI
42,0.4800,0.4800,0.4500,0.4677,11758,2020-04-24,-212,2021-02-26,BGI
43,0.4919,0.5264,0.4525,0.4900,10415,2020-04-27,-211,2021-02-26,BGI
44,0.5100,0.5100,0.4550,0.4700,7432,2020-04-28,-210,2021-02-26,BGI
45,0.5200,0.5200,0.4711,0.4782,19253,2020-04-29,-209,2021-02-26,BGI
46,0.5005,0.5005,0.4500,0.4540,5138,2020-04-30,-208,2021-02-26,BGI
47,0.5000,0.5000,0.4600,0.4734,10169,2020-05-01,-207,2021-02-26,BGI
48,0.4750,0.4750,0.4700,0.4700,14616,2020-05-04,-206,2021-02-26,BGI
49,0.4800,0.4800,0.4105,0.4400,10561,2020-05-05,-205,2021-02-26,BGI
