,close,high,init date,low,open,ticker,time,volume
0,2.35,2.35,2021-02-26,2.35,2.35,BGI,2021-02-26 20:00:00,300
1,2.2,2.27,2021-02-26,2.2,2.27,BGI,2021-02-26 19:55:00,3321
2,2.3,2.31,2021-02-26,2.3,2.31,BGI,2021-02-26 19:50:00,679
3,2.36,2.36,2021-02-26,2.36,2.36,BGI,2021-02-26 19:40:00,750
4,2.3,2.3,2021-02-26,2.3,2.3,BGI,2021-02-26 18:25:00,104
5,2.27,2.27,2021-02-26,2.27,2.27,BGI,2021-02-26 18:10:00,1500
6,2.3,2.3,2021-02-26,2.3,2.3,BGI,2021-02-26 18:00:00,263
7,2.3,2.3,2021-02-26,2.27,2.27,BGI,2021-02-26 17:55:00,627
8,2.27,2.27,2021-02-26,2.27,2.27,BGI,2021-02-26 17:50:00,11516
9,2.2999,2.2999,2021-02-26,2.27,2.27,BGI,2021-02-26 17:40:00,3083
10,2.27,2.27,2021-02-26,2.27,2.27,BGI,2021-02-26 17:35:00,689
11,2.27,2.27,2021-02-26,2.27,2.27,BGI,2021-02-26 17:30:00,600
12,2.27,2.28,2021-02-26,2.27,2.28,BGI,2021-02-26 17:25:00,1550
13,2.27,2.28,2021-02-26,2.27,2.28,BGI,2021-02-26 17:20:00,1922
14,2.27,2.34,2021-02-26,2.27,2.28,BGI,2021-02-26 17:10:00,10209
15,2.3,2.32,2021-02-26,2.27,2.31,BGI,2021-02-26 17:05:00,22542
16,2.32,2.49,2021-02-26,2.32,2.4001,BGI,2021-02-26 17:00:00,10544
17,2.4,2.4,2021-02-26,2.39,2.39,BGI,2021-02-26 16:55:00,1059
18,2.39,2.49,2021-02-26,2.3,2.45,BGI,2021-02-26 16:50:00,12360
19,2.43,2.47,2021-02-26,2.28,2.29,BGI,2021-02-26 16:45:00,7473
20,2.27,2.27,2021-02-26,2.27,2.27,BGI,2021-02-26 16:40:00,2650
21,2.3,2.3,2021-02-26,2.27,2.29,BGI,2021-02-26 16:35:00,6050
22,2.27,2.34,2021-02-26,2.27,2.33,BGI,2021-02-26 16:30:00,2899
23,2.27,2.33,2021-02-26,2.24,2.24,BGI,2021-02-26 16:25:00,5601
24,2.25,2.25,2021-02-26,2.23,2.23,BGI,2021-02-26 16:20:00,1317
25,2.23,2.24,2021-02-26,2.23,2.23,BGI,2021-02-26 16:15:00,5376
26,2.23,2.23,2021-02-26,2.2,2.2,BGI,2021-02-26 16:10:00,12003
27,2.24,2.24,2021-02-26,2.16,2.16,BGI,2021-02-26 16:05:00,6913
28,2.19,2.26,2021-02-26,2.16,2.26,BGI,2021-02-26 16:00:00,50309
