"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"CREX","Creative Realities, Inc.","NASD","Technology","Software",,"",1.970,153224
"ENTX","Entera Bio Ltd.","NASD","Health Care","Pharmaceuticals",,"",3.990,357852
"HGSH","China HGS Real Estate, Inc.","NASD","Real Estate","Real Estate Development",,"",2.330,752218
"HSTO","Histogen Inc.","NASD","Health Care","Biotechnology",,"",1.080,1174105
"JOB","GEE Group Inc.","AMEX","Consumer Discretionary","Business Training Agencies",,"",0.591,4091726
"MDRR","Medalist Diversified REIT, Inc.","NASD","Real Estate","Diversified REITs",,"",1.520,849437
"NVIV","InVivo Therapeutics Holdings Corp.","NASD","Health Care","Biotechnology",5.8,"sml",0.740,748793
"PHUN","Phunware, Inc.","NASD","Technology","Software",,"",1.460,1211815
"RGLS","Regulus Therapeutics Inc.","NASD","Health Care","Biotechnology",69.6,"sml",1.160,1823197
"XCUR","Exicure Inc.","NASD","Health Care","Biotechnology",19.1,"sml",1.740,307952
"YVR","Liquid Media Group Ltd.","NASD","Consumer Staples","Soft Drinks",,"",1.910,1573870
