"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ATIF","ATIF Holdings Ltd.","NASD","Financial","Asset Managers",,"",1.010,110947
"BDR","Blonder Tongue Laboratories, Inc.","AMEX","Technology","Electrical Components",,"",1.280,603614
"BIOL","BIOLASE, Inc.","NASD","Health Care","Medical Equipment",,"",0.726,1533819
"GSAT","Globalstar Inc.","AMEX","Communication Services","Mobile Telecommunications",,"",1.610,10857399
"IBIO","iBio Inc.","AMEX","Health Care","Biotechnology",18.0,"sml",1.480,3837967
"NBY","NovaBay Pharmaceuticals, Inc.","AMEX","Health Care","Biotechnology",,"",0.690,405442
"PFMT","Performant Financial Corp.","NASD","Industrial","Business Support Services",,"",3.760,1330839
"POAI","Predictive Oncology Inc.","NASD","Health Care","Medical Equipment",,"",1.250,1534364
"QD","Qudian Inc.","NYSE","Financial","Specialty Finance",,"",2.260,5003361
"RIBT","RiceBran Technologies","NASD","Consumer Staples","Food Products",,"",1.050,257385
"SHIP","Seanergy Maritime Holdings Corp.","NASD","Industrial","Marine Transportation",,"",1.050,4300695
"SYN","Synthetic Biologics, Inc.","AMEX","Health Care","Pharmaceuticals",28.3,"sml",0.514,1823249
"ZOM","Zomedica Corp.","AMEX","Health Care","Pharmaceuticals",98.8,"sml",0.824,32415943
