,close,high,init date,low,open,ticker,time,volume
0,10.7,10.84,2021-05-14,10.7,10.7,MOXC,2021-05-14 20:00:00,1377.0
1,10.84,10.84,2021-05-14,10.84,10.84,MOXC,2021-05-14 19:00:00,100.0
2,10.63,10.84,2021-05-14,10.63,10.84,MOXC,2021-05-14 18:30:00,2347.0
3,10.7,10.72,2021-05-14,10.7,10.72,MOXC,2021-05-14 17:30:00,1965.0
4,10.72,10.89,2021-05-14,10.71,10.85,MOXC,2021-05-14 17:00:00,1921.0
5,10.89,10.99,2021-05-14,10.7,10.72,MOXC,2021-05-14 16:30:00,8764.0
6,10.8,10.98,2021-05-14,10.33,10.635,MOXC,2021-05-14 16:00:00,296472.0
7,10.635,10.68,2021-05-14,10.27,10.38,MOXC,2021-05-14 15:30:00,209396.0
8,10.38,10.49,2021-05-14,9.97,10.1181,MOXC,2021-05-14 15:00:00,214881.0
9,10.13,10.2,2021-05-14,9.66,9.9999,MOXC,2021-05-14 14:30:00,74300.0
10,9.95,10.17,2021-05-14,9.44,9.44,MOXC,2021-05-14 14:00:00,118976.0
11,9.43,9.91,2021-05-14,9.0,9.7656,MOXC,2021-05-14 13:30:00,399420.0
12,9.76,10.0102,2021-05-14,9.62,10.0102,MOXC,2021-05-14 13:00:00,73329.0
13,10.0,10.3,2021-05-14,9.82,9.86,MOXC,2021-05-14 12:30:00,104275.0
14,9.73,10.3,2021-05-14,9.73,10.24,MOXC,2021-05-14 12:00:00,142113.0
15,10.0843,10.6,2021-05-14,9.93,10.11,MOXC,2021-05-14 11:30:00,307241.0
16,10.11,10.86,2021-05-14,9.82,10.65,MOXC,2021-05-14 11:00:00,370513.0
17,10.7,11.15,2021-05-14,10.5,11.02,MOXC,2021-05-14 10:30:00,523094.0
18,11.0,11.5,2021-05-14,8.82,9.08,MOXC,2021-05-14 10:00:00,1448255.0
19,9.13,9.75,2021-05-14,9.11,9.5,MOXC,2021-05-14 09:30:00,30964.0
20,9.47,9.55,2021-05-14,9.38,9.47,MOXC,2021-05-14 09:00:00,4150.0
21,9.49,9.5,2021-05-14,9.25,9.2501,MOXC,2021-05-14 08:30:00,4360.0
22,9.45,9.64,2021-05-14,9.32,9.33,MOXC,2021-05-14 08:00:00,10542.0
23,9.32,9.33,2021-05-14,9.29,9.3,MOXC,2021-05-14 07:30:00,3430.0
24,9.25,9.25,2021-05-14,9.22,9.23,MOXC,2021-05-14 07:00:00,2218.0
25,9.22,9.38,2021-05-14,9.22,9.38,MOXC,2021-05-14 06:30:00,1276.0
26,9.34,9.35,2021-05-14,9.34,9.35,MOXC,2021-05-14 06:00:00,293.0
27,9.21,9.35,2021-05-14,9.21,9.35,MOXC,2021-05-14 05:30:00,1330.0
28,9.2,9.36,2021-05-14,9.2,9.36,MOXC,2021-05-14 05:00:00,1401.0
29,9.2,9.74,2021-05-14,9.0,9.74,MOXC,2021-05-14 04:30:00,54082.0
30,11.11,11.12,2021-05-17,10.89,11.0,MOXC,2021-05-17 20:00:00,2343.0
31,10.95,10.95,2021-05-17,10.95,10.95,MOXC,2021-05-17 19:30:00,174.0
32,10.96,10.96,2021-05-17,10.96,10.96,MOXC,2021-05-17 18:00:00,171.0
33,11.0,11.07,2021-05-17,11.0,11.07,MOXC,2021-05-17 17:30:00,1559.0
34,11.1,11.15,2021-05-17,11.1,11.15,MOXC,2021-05-17 17:00:00,209.0
35,11.15,11.15,2021-05-17,11.15,11.15,MOXC,2021-05-17 16:30:00,330.0
36,11.12,11.2224,2021-05-17,10.99,11.04,MOXC,2021-05-17 16:00:00,90727.0
37,11.09,11.37,2021-05-17,10.91,10.91,MOXC,2021-05-17 15:30:00,115157.0
38,10.91,11.11,2021-05-17,10.62,10.82,MOXC,2021-05-17 15:00:00,82018.0
39,10.85,10.98,2021-05-17,10.5964,10.69,MOXC,2021-05-17 14:30:00,52717.0
40,10.635,10.69,2021-05-17,10.442,10.502,MOXC,2021-05-17 14:00:00,27503.0
41,10.52,10.75,2021-05-17,10.5049,10.69,MOXC,2021-05-17 13:30:00,29779.0
42,10.65,10.78,2021-05-17,10.58,10.68,MOXC,2021-05-17 13:00:00,18403.0
43,10.69,10.74,2021-05-17,10.4068,10.515,MOXC,2021-05-17 12:30:00,23558.0
44,10.56,10.8,2021-05-17,10.32,10.67,MOXC,2021-05-17 12:00:00,109529.0
45,10.66,10.66,2021-05-17,10.06,10.26,MOXC,2021-05-17 11:30:00,122570.0
46,10.2101,10.69,2021-05-17,10.17,10.61,MOXC,2021-05-17 11:00:00,187397.0
47,10.67,10.88,2021-05-17,10.106,10.78,MOXC,2021-05-17 10:30:00,307699.0
48,10.78,11.2,2021-05-17,10.05,10.1,MOXC,2021-05-17 10:00:00,642093.0
49,10.1,10.86,2021-05-17,10.0,10.62,MOXC,2021-05-17 09:30:00,59743.0
50,10.51,10.79,2021-05-17,10.51,10.63,MOXC,2021-05-17 09:00:00,7583.0
51,10.94,10.98,2021-05-17,10.55,10.75,MOXC,2021-05-17 08:30:00,9048.0
52,10.63,11.2,2021-05-17,10.57,10.57,MOXC,2021-05-17 08:00:00,34745.0
53,10.57,11.13,2021-05-17,10.33,11.13,MOXC,2021-05-17 07:30:00,18839.0
54,11.2,11.2,2021-05-17,11.2,11.2,MOXC,2021-05-17 07:00:00,210.0
55,11.17,11.65,2021-05-17,11.16,11.65,MOXC,2021-05-17 06:30:00,6629.0
56,11.93,12.25,2021-05-17,11.18,11.48,MOXC,2021-05-17 06:00:00,30248.0
57,11.8,11.85,2021-05-17,11.44,11.62,MOXC,2021-05-17 05:30:00,4658.0
58,11.62,11.8,2021-05-17,11.03,11.11,MOXC,2021-05-17 05:00:00,7539.0
59,10.51,12.0,2021-05-17,10.0,10.23,MOXC,2021-05-17 04:30:00,28676.0
60,6.53,6.75,2020-12-21,6.53,6.75,ATXI,2020-12-21 19:30:00,400.0
61,6.75,6.75,2020-12-21,6.74,6.74,ATXI,2020-12-21 19:00:00,740.0
62,6.71,6.75,2020-12-21,6.71,6.75,ATXI,2020-12-21 18:30:00,300.0
63,6.7,6.7,2020-12-21,6.7,6.7,ATXI,2020-12-21 18:00:00,700.0
64,6.62,6.7,2020-12-21,6.62,6.62,ATXI,2020-12-21 17:30:00,470.0
65,6.58,6.71,2020-12-21,6.58,6.71,ATXI,2020-12-21 16:30:00,1083.0
66,6.5407,6.63,2020-12-21,6.52,6.603,ATXI,2020-12-21 16:00:00,67742.0
