"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ACST","Acasti Pharma Inc.","NASD","Health Care","Pharmaceuticals",,"",0.501,13262321
"ASTC","Astrotech Corp.","NASD","Industrial","Aerospace",,"",1.120,1313492
"ASXC","Asensus Surgical, Inc.","AMEX","Health Care","Medical Equipment",,"",2.030,7209896
"AYRO","AYRO, Inc.","NASD","Technology","Telecom Equipment",,"",4.770,635411
"BHTG","BioHiTech Global, Inc.","NASD","Industrial","Marine Transportation",,"",1.350,215860
"BPTH","Bio-Path Holdings Inc.","NASD","Health Care","Pharmaceuticals",49.3,"sml",5.600,225919
"CLVR","Clever Leaves International Inc.","NASD","","",,"",9.060,274430
"CMLF","CM Life Sciences Inc.","NASD","","",,"",11.990,365659
"CMLFU","CM Life Sciences, Inc.","NASD","","",,"",13.270,2245
"CNET","ZW Data Action Technologies","NASD","Communication Services","Media Agencies",,"",1.690,427955
"CPHI","China Pharma Holdings, Inc.","AMEX","Health Care","Pharmaceuticals",,"",0.575,916553
"GILT","Gilat Satellite Networks Ltd.","NASD","Technology","Telecom Equipment",,"",9.330,340026
"GMBL","Esports Entertainment Group Inc.","NASD","Consumer Discretionary","Gambling",,"",10.530,929722
"KERN","Akerna Corp.","NASD","Technology","Computer Services",10.5,"sml",3.570,397091
"LHDX","Lucira Health Inc.","NASD","Health Care","Medical Supplies",,"",5.180,910664
"LKCO","Luokung Technology Corp.","NASD","Technology","Software",,"",1.190,4748920
"MJO","MicroSectors Cannabis 2X Leveraged ETN","AMEX","","",,"",94.126,734
"NEPT","Neptune Technologies & BioResources Inc.","NASD","Health Care","Pharmaceuticals",,"",1.240,1017715
"OLB","OLB Group Inc.","NASD","Technology","Software",,"",4.580,37952
"POTX","Global X Cannabis ETF","NASD","","",49.6,"etf",13.140,267101
"PULM","Pulmatrix, Inc.","NASD","Health Care","Biotechnology",,"",0.967,470367
"REPX","Riley Exploration Permian, Inc.","AMEX","Energy","Exploration & Production",,"",35.010,13077
"SLRX","Salarius Pharmaceuticals Inc.","NASD","Health Care","Biotechnology",65.4,"sml",1.250,1035884
"TLRY","Tilray, Inc.","NASD","Health Care","Medical Supplies",,"",15.030,15469065
"UAMY","U S Antimony Corp.","AMEX","Materials","Gold Mining",,"",0.802,697468
"VYNT","Vyant Bio, Inc.","NASD","Health Care","Biotechnology",,"",3.490,465928
"ZYNE","Zynerba Pharmaceuticals, Inc.","NASD","Health Care","Pharmaceuticals",,"",4.680,1878960
