,1. open,2. high,3. low,4. close,5. volume,date,delta,init date,ticker
0,21.3800,29.4900,18.0100,27.5000,1592068,2021-02-16,0,2021-02-16,AEI
1,6.8000,7.8000,6.0100,6.9800,1970204,2020-11-24,-55,2021-02-16,AEI
2,7.0000,7.0000,6.1000,6.1000,998321,2020-11-25,-54,2021-02-16,AEI
3,6.0000,6.2000,5.5000,5.5500,282373,2020-11-27,-53,2021-02-16,AEI
4,5.6000,6.3800,5.5200,6.0900,256958,2020-11-30,-52,2021-02-16,AEI
5,6.2700,6.4800,5.8100,5.9200,117562,2020-12-01,-51,2021-02-16,AEI
6,5.8100,6.2000,5.5200,5.6500,162544,2020-12-02,-50,2021-02-16,AEI
7,5.5500,5.7600,5.4500,5.5200,106535,2020-12-03,-49,2021-02-16,AEI
8,5.5581,5.7200,5.4200,5.4600,109164,2020-12-04,-48,2021-02-16,AEI
9,5.4000,5.7100,5.4000,5.5000,65090,2020-12-07,-47,2021-02-16,AEI
10,5.5000,5.5370,5.4000,5.4500,20135,2020-12-08,-46,2021-02-16,AEI
11,5.4500,5.6500,5.1500,5.3900,58890,2020-12-09,-45,2021-02-16,AEI
12,5.2300,5.2688,5.0741,5.1200,26266,2020-12-10,-44,2021-02-16,AEI
13,5.0900,5.2400,5.0678,5.0701,21868,2020-12-11,-43,2021-02-16,AEI
14,5.0800,5.2500,5.0000,5.0000,18323,2020-12-14,-42,2021-02-16,AEI
15,5.0000,5.0243,4.6000,4.6150,60075,2020-12-15,-41,2021-02-16,AEI
16,4.6400,6.3000,4.6300,5.7400,716088,2020-12-16,-40,2021-02-16,AEI
17,5.8400,7.5000,5.4600,5.9401,938197,2020-12-17,-39,2021-02-16,AEI
18,6.0100,6.3600,5.3954,5.8000,409791,2020-12-18,-38,2021-02-16,AEI
19,5.2500,5.9300,5.1000,5.9300,84781,2020-12-21,-37,2021-02-16,AEI
20,5.9200,6.0000,5.3800,5.4000,69861,2020-12-22,-36,2021-02-16,AEI
21,5.4000,5.7400,5.2700,5.5900,47076,2020-12-23,-35,2021-02-16,AEI
22,5.4300,5.5500,5.1800,5.2600,29635,2020-12-24,-34,2021-02-16,AEI
23,5.3817,5.8200,5.3817,5.6900,62362,2020-12-28,-33,2021-02-16,AEI
24,5.5000,5.6400,5.2800,5.4500,55904,2020-12-29,-32,2021-02-16,AEI
25,5.3500,5.9999,5.3500,5.5600,38121,2020-12-30,-31,2021-02-16,AEI
26,5.5500,6.3500,5.5500,5.9800,219443,2020-12-31,-30,2021-02-16,AEI
27,6.0000,6.1000,5.6600,5.8900,30077,2021-01-04,-29,2021-02-16,AEI
28,6.0000,6.2500,5.8500,6.0000,52063,2021-01-05,-28,2021-02-16,AEI
29,5.9500,6.7494,5.9101,6.0900,171366,2021-01-06,-27,2021-02-16,AEI
30,6.2600,6.5000,6.0600,6.1500,44353,2021-01-07,-26,2021-02-16,AEI
31,6.1500,6.1800,5.8501,5.8700,59752,2021-01-08,-25,2021-02-16,AEI
32,5.7700,6.2000,5.3500,6.1000,54728,2021-01-11,-24,2021-02-16,AEI
33,6.1000,6.5000,5.9200,6.2000,150755,2021-01-12,-23,2021-02-16,AEI
34,6.4277,6.9500,6.3050,6.7500,80501,2021-01-13,-22,2021-02-16,AEI
35,6.6600,6.7200,6.3067,6.3300,88772,2021-01-14,-21,2021-02-16,AEI
36,6.4900,6.9500,6.2281,6.7000,145265,2021-01-15,-20,2021-02-16,AEI
37,6.7000,6.7700,6.2100,6.3600,115957,2021-01-19,-19,2021-02-16,AEI
38,6.3700,6.5200,6.2700,6.5200,9827,2021-01-20,-18,2021-02-16,AEI
39,6.5200,6.8900,6.3100,6.3900,129978,2021-01-21,-17,2021-02-16,AEI
40,6.3800,6.6500,5.7350,5.8800,124613,2021-01-22,-16,2021-02-16,AEI
41,6.0000,6.3300,5.8000,5.9000,46253,2021-01-25,-15,2021-02-16,AEI
42,5.9000,6.1250,5.6800,5.7663,16893,2021-01-26,-14,2021-02-16,AEI
43,5.5800,6.1700,5.2780,6.0900,94149,2021-01-27,-13,2021-02-16,AEI
