"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ADXS","Advaxis Inc.","NASD","Health Care","Biotechnology",,"",0.548,45571411
"ANVS","Annovis Bio Inc.","NYSE","Health Care","Biotechnology",,"",26.400,272872
"BGI","Birks Group Inc.","AMEX","Consumer Discretionary","Apparel Retailers",,"",2.630,147640
"CNET","ZW Data Action Technologies","NASD","Communication Services","Media Agencies",,"",1.670,1016806
"DPW","DPW Holdings, Inc.","AMEX","Technology","Electrical Components",,"",2.460,1355391
"EARS","Auris Medical Holding Ltd.","NASD","Health Care","Pharmaceuticals",,"",3.330,300636
"EH","EHang Holdings Ltd","NASD","Industrial","Aerospace",,"",22.810,1320636
"ELYS","Elys Game Technology, Corp.","NASD","Consumer Discretionary","Gambling",,"",4.390,322780
"EVFM","Evofem Biosciences, Inc.","NASD","Health Care","Pharmaceuticals",0.0,"sml",0.857,17477859
"FNHC","FedNat Holding Co.","NASD","Financial","Property-Casualty Insurance",3.5,"sml",4.260,99687
"GRNQ","Greenpro Capital Corp.","NASD","Financial","Investment Services",,"",1.350,1455202
"HIHO","Highway Holdings Ltd.","NASD","Technology","Electronic Equipment",,"",3.610,22411
"HOTH","Hoth Therapeutics Inc.","NASD","Health Care","Pharmaceuticals",,"",1.400,247021
"IPDN","Professional Diversity Network Inc.","NASD","Communication Services","Internet",,"",1.660,1368800
"MGI","MoneyGram Intl, Inc.","NASD","Financial","Consumer Finance",59.4,"sml",8.030,2066761
"MOGO","Mogo Finance Technology Inc.","NASD","Financial","Consumer Finance",,"",7.980,1599548
"MTC","MMTec, Inc.","NASD","","",,"",1.560,82150
"NXTD","NXT-ID, Inc.","NASD","Technology","Software",,"",0.828,1835823
"PBTS","Powerbridge Technologies Co., Ltd.","NASD","Technology","Software",,"",1.280,440397
"PCSA","Processa Pharmaceuticals Inc.","NASD","Health Care","Pharmaceuticals",,"",6.860,45871
"PHCF","Puhui Wealth Investment Management Co Ltd.","NASD","","",,"",3.536,5643
"POAI","Predictive Oncology Inc.","NASD","Health Care","Medical Equipment",,"",1.090,1842927
"RCON","Recon Technology Ltd.","NASD","Energy","Oil Equipment & Services",,"",8.810,427850
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",99.4,"sml",0.033,12662
"TYHT","Shineco, Inc.","NASD","Health Care","Pharmaceuticals",,"",15.660,141791
"USWS","US Well Services, Inc.","NASD","Energy","Oil Equipment & Services",,"",1.050,2185316
