"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ARMP","Armata Pharmaceuticals, Inc.","AMEX","Health Care","Biotechnology",,"",4.240,6116
"AXAS","Abraxas Petroleum Corp.","NASD","Energy","Exploration & Production",,"",2.160,120026
"BLRX","BioLineRx Ltd.","NASD","Health Care","Pharmaceuticals",,"",3.180,1276305
"BRN","Barnwell Industries, Inc.","AMEX","Energy","Exploration & Production",,"",2.860,835013
"BRPA","Big Rock Partners Acquisition Corp.","NASD","","",,"",36.080,2851163
"CANG","Cango Inc.","NYSE","Technology","Software",,"",5.470,491508
"CEI","Camber Energy, Inc.","AMEX","Energy","Exploration & Production",,"",0.617,1210936
"CELP","Cypress Energy Partners, LP","NYSE","Energy","Oil Equipment & Services",,"",2.110,16727
"ENSV","ENSERVCO Corp.","AMEX","Energy","Exploration & Production",,"",1.250,124660
"GBR","New Concept Energy Inc.","AMEX","Real Estate","Real Estate Development",,"",4.020,78884
"GTE","Gran Tierra Energy, Inc.","AMEX","Energy","Exploration & Production",,"",0.613,2889640
"HUSA","Houston American Energy Corp.","AMEX","Energy","Exploration & Production",,"",1.540,84702
"HYMCW","Hycroft Mining Holding Corporation","NASD","","",,"",0.700,34236
"ICD","Independence Contract Drilling, Inc.","NYSE","Energy","Oil Equipment & Services",,"",3.130,118076
"INDO","Indonesia Energy Corp Ltd.","AMEX","Energy","Exploration & Production",,"",5.550,2280
"LFMD","LifeMD, Inc.","NASD","Consumer Staples","Food Products",,"",12.130,3633669
"LGND","Ligand Pharmaceuticals Inc.","NASD","Health Care","Biotechnology",49.8,"mid",123.550,135954
"MARPS","Marine Petroleum Trust","NASD","Energy","Exploration & Production",,"",4.204,9358
"MTR","Mesa Royalty Tr","NYSE","Energy","Exploration & Production",,"",4.640,18009
"MXC","MEXCO Energy Corp.","AMEX","Energy","Exploration & Production",,"",7.702,856
"NCTY","The9 Ltd.","NASD","Consumer Discretionary","Toys",,"",14.260,784641
"NEGG","Newegg Commerce, Inc.","NASD","Health Care","Medical Equipment",,"",13.240,3669385
"NVOS","Novo Integrated Sciences, Inc.","NASD","Industrial","Commercial Vehicles",,"",2.120,93915
"OCX","OncoCyte Corp.","NASD","Health Care","Biotechnology",95.9,"sml",4.720,488967
"PED","PEDEVCO Corp.","AMEX","Energy","Exploration & Production",,"",1.360,72852
"PVL","Permianville Royalty Trust","NYSE","Energy","Exploration & Production",,"",1.620,44503
"RENN","Renren Inc.","NYSE","Consumer Discretionary","Special Consumer Services",,"",9.780,69357
"REPX","Riley Exploration Permian, Inc.","AMEX","Energy","Exploration & Production",,"",35.010,7443
"SDPI","Superior Drilling Products Inc.","AMEX","Energy","Oil Equipment & Services",,"",0.770,209813
"SNMP","Sanchez Midstream Partners LLC","AMEX","Energy","Exploration & Production",,"",0.920,2895672
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",99.4,"sml",0.033,12662
"USEG","U.S. Energy Corp.","NASD","Energy","Exploration & Production",,"",3.910,38306
"VYNT","Vyant Bio, Inc.","NASD","Health Care","Biotechnology",,"",3.220,396458
"YGMZ","MingZhu Logistics Holdings Ltd.","NASD","Industrial","Trucking",,"",4.620,256904
