"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"CRTD","Creatd, Inc.","NASD","","",,"",3.090,434518
"HOFV","Hall of Fame Resort & Entertainment Company","NASD","Communication Services","Entertainment",,"",3.380,2397637
"IMTE","Integrated Media Technology Limited","NASD","Technology","Computer Hardware",,"",3.640,66583
"JFIN","Jiayin Group Inc.","NASD","Communication Services","Internet",,"",5.520,77401
"MFH","Mercurity Fintech Holding Inc","NASD","Industrial","Business Support Services",,"",5.450,140630
"OCG","Oriental Culture Holding Ltd.","NASD","","",,"",4.260,192718
"RCON","Recon Technology Ltd.","NASD","Energy","Oil Equipment & Services",,"",8.570,463693
"SUMR","Summer Infant, Inc.","NASD","Consumer Discretionary","Durable Household Products",,"",11.450,662548
"TKAT","Takung Art Co., Ltd.","AMEX","Communication Services","Internet",,"",19.600,520474
"UPST","Upstart Holdings Inc.","NASD","","",,"",132.910,6594678
"WKEY","WISeKey International Holding Ltd.","NASD","","",,"",7.430,301232
"YRIV","Yangtze River Development Ltd.","NASD","Real Estate","Real Estate Development",,"",0.061,32332
"YVR","Liquid Media Group Ltd.","NASD","Consumer Staples","Soft Drinks",,"",1.810,552202
